year,scenario,corruption_index,trust_index,grievance_index,merit_integrity,iig_effectiveness,coup_probability,ethnic_harmony,gini_coefficient,employment_rate,phd_output,knowledge_capital,brain_drain_rate,tax_compliance,shame_register_size,foreign_investors,stability_index,north_star_progress,total_ruin_events,fdi_net,inflation_rate,psych_probation_count,run_id,seed,final_year,simulation_failed
0,C,0.6528425549700413,0.2200508134906164,0.6188394200816789,0.0,0.05,0.45,0.25574508212702346,0.4080192295732515,0.5877991236939669,0,0.0,0.0,0.9,0,0,0.18,0.263,0,0.0,0.12,0,38,3867,50,False
0,C,0.7368841686331298,0.19903660332693235,0.9999996101540424,0.0,0.05,0.445,0.2628148865158623,0.4043453419200962,0.5945277731992747,0,0.0,0.1981,0.9976,0,0,0.48250000000000004,0.26714918599628307,0,0.0,0.1152733098211702,0,38,3867,50,False
1,C,0.8125540377398085,0.27679664554952566,0.9999998133464307,0.0,0.05,0.44,0.26895131785336535,0.3988441356572272,0.6044703595724004,0,0.0,0.1572,0.9968,0,0,0.46675,0.2551410309520035,0,0.0,0.09398987471194226,0,38,3867,50,False
2,C,0.8794655678672182,0.3296793827819455,0.9999995839848264,0.0,0.05,0.435,0.2744357984644269,0.3956493752285821,0.6138471378317877,0,0.0,0.1008,0.9959,0,0,0.47942937157361604,0.2433313055819229,0,0.0,0.07652302368418815,0,38,3867,50,False
3,C,0.9127693415495626,0.36521241965728146,0.9999998403099829,0.0,0.05,0.48,0.2787932290169107,0.3931245995780264,0.6195960870937204,0,0.0,0.0653,0.995,0,0,0.46852993167514717,0.23376399937858552,0,0.0,0.06332884325501918,0,38,3867,50,False
4,C,0.9327358000050013,0.3884746292619971,0.9999997066282781,0.0,0.05,0.475,0.28304556191974156,0.38786372548257353,0.6237330422579136,0,0.0,0.045,0.9935,0,0,0.47512532374621896,0.23035453540924364,1,0.0,0.05538136118571431,0,38,3867,50,False
5,C,0.9409480554409486,0.3978760243918312,0.9999999505951563,0.0,0.05,0.47,0.2867125511278184,0.384617216836568,0.6264669549104386,0,0.0,0.0326,0.991,6,0,0.4799670981959693,0.22688139186431697,12,0.0,0.039544947934028477,0,38,3867,50,False
6,C,0.9454141816240825,0.4029706415132283,0.9999997574509584,0.0,0.05,0.46499999999999997,0.28971266512154203,0.3790838797224036,0.6278643446379468,0,0.0,0.0207,0.9896,21,0,0.482221109817282,0.2254960413188927,21,0.0,0.006333966648035549,0,38,3867,50,False
7,C,0.9479081952475972,0.40501813101714723,0.9999998655931651,0.0,0.05,0.45999999999999996,0.29309970874162605,0.3748960285055846,0.6314190215739897,0,0.0,0.0154,0.9869,46,0,0.48402391795220095,0.22559861841169668,57,0.0,0.0,0,38,3867,50,False
8,C,0.9488592402807513,0.4050238252205198,0.9999994972279292,0.0,0.05,0.45499999999999996,0.29536381809472934,0.37103715770268325,0.6342641509433963,0,0.0,0.0117,0.984,62,0,0.48551088364664424,0.22663558614582088,77,0.0,0.0,0,38,3867,50,False
9,C,0.9491760078734267,0.4370205687713016,0.9999995395145213,0.0,0.05,0.44999999999999996,0.29771919405878183,0.36890353735882275,0.637737543019602,0,0.0,0.0104,0.9776,107,0,0.4867767596327545,0.23438658870767418,136,0.0,0.0,0,38,3867,50,False
10,C,0.9490458532335996,0.457861708698608,1.0,0.0,0.05,0.44499999999999995,0.3002214281964043,0.36582687876732467,0.6402203036618042,0,0.0,0.0077,0.9677,138,0,0.4962642605031264,0.24027199078776026,175,0.0,0.0,0,38,3867,50,False
