year,scenario,corruption_index,trust_index,gini_coefficient,coup_probability,iig_effectiveness,employment_rate,brain_drain_rate,ethnic_harmony,north_star_progress,stability_index,gdp_growth,shame_register_size,total_ruin_events,elite_budget_impact,elite_coup_signal,active_foreign_investors,run_id,seed
0,A,0.15815782654081506,0.22,0.55,0.45,0.05,0.58,0.35,0.32,0.1,0.18,0.02,0,0,0.07,False,0,16,1665
0,A,0.20086144020333135,0.3894311785697937,0.4445443870629868,0.0,0.0,0.6672797203063965,0.00984,0.6901867380365729,0.5587247219369607,0.5394004514391266,0.05216726520377554,0,0,0.09416999999999999,False,0,16,1665
1,A,0.25226722833013876,0.3604796826839447,0.44453522617127184,0.0,0.0002,0.8176153302192688,0.0092,0.5928312428295612,0.5433247015862109,0.5659030214630858,0.05281271292327019,0,0,0.0756555,False,0,16,1665
2,A,0.3028381174283926,0.307891845703125,0.4445258550108817,0.0,0.0004,0.8032559156417847,0.00852,0.4443860352039337,0.5166034244505231,0.5494294865682219,0.05214263088838311,0,0,0.07741200000000001,False,0,16,1665
3,A,0.3558543124880269,0.23546308279037476,0.4445161145494061,0.0,0.0006,0.7860736846923828,0.00872,0.24985269457101822,0.48253394473986866,0.5301970323423395,0.0514975979270394,0,0,0.080412,False,0,16,1665
4,A,0.4001722566144832,0.1508694589138031,0.4445058806683131,0.0,0.0008,0.7686296701431274,0.01036,0.013870082795619965,0.44198038366209463,0.5260364218779933,0.05077920947986513,0,0,0.0845325,False,0,16,1665
5,A,0.4560917916575726,0.0742407813668251,0.4444950608968534,0.0,0.001,0.7494206428527832,0.01402,0.0,0.42676824055405327,0.5240503741469414,0.05032177349488237,0,0,0.0893505,False,0,16,1665
6,A,0.5035417505237122,0.019231267273426056,0.4444838569146474,0.0,0.0012,0.7316258549690247,0.02074,0.0,0.4135750657235233,0.5191269244912449,0.04951629564130428,0,0,0.09246299999999999,False,0,16,1665
7,A,0.5441962482035329,0.001643847324885428,0.4444723941771871,0.0,0.0014000000000000002,0.7156749367713928,0.02858,0.0,0.4078287683966244,0.516257186286567,0.04896490891514216,0,0,0.09469049999999998,False,0,16,1665
8,A,0.5824374575706901,6.70067747705616e-05,0.4444608384071973,0.0,0.0016,0.7015328407287598,0.0383,0.0,0.4059358325344167,0.5150110298747864,0.04861738861212214,0,0,0.09537899999999999,False,0,16,1665
9,A,0.6025503065286977,6.406425200111698e-06,0.44444929112151454,0.0,0.043795841995842,0.6866875290870667,0.04814,0.0,0.4047484295660076,0.514294620997217,0.04834226788880733,0,1,0.09545999999999999,False,0,16,1665
10,A,0.6246559084558533,3.682114993353025e-06,0.44443774425106364,0.0,0.11834615384615385,0.681281566619873,0.05926,0.0,0.40755227422012036,0.5180465598853561,0.048610997892923925,1,1,0.09545999999999999,False,0,16,1665
11,A,0.6404181309496614,1.4215707722087245e-08,0.44442619779641235,0.0,0.2312,0.6699183583259583,0.071,0.0,0.40987186293580913,0.5212494020065424,0.04881994530381377,1,1,0.09545999999999999,False,0,16,1665
12,A,0.650332466811285,3.349024098042719e-07,0.44441465175768124,0.0,0.29346924394421336,0.6662691831588745,0.08204,0.0,0.41357269154863363,0.5259996386486009,0.04921919409354604,3,6,0.09545999999999999,False,0,16,1665
13,A,0.6595201572545621,3.052681663007206e-08,0.4444031061339673,0.0,0.44426666666666664,0.6654855012893677,0.09494,0.0,0.4185522222376248,0.5321838983292945,0.04979387947808464,11,11,0.09545999999999999,False,0,16,1665
14,A,0.6642925519682943,0.0,0.44439156092526133,0.0,0.5482545454545454,0.6678066253662109,0.10856,0.0,0.4236776407824808,0.5385300296365492,0.05039036422102347,12,15,0.09545999999999999,False,0,16,1665
15,A,0.6597458722604306,3.0018657071195776e-07,0.44438001613161493,0.0,0.6615365853658536,0.6716077327728271,0.12442,0.0,0.42977450015500207,0.5459662198330051,0.05111930783169857,22,22,0.09545999999999999,False,0,16,1665
16,A,0.6517975708624381,0.0,0.4443684717530054,0.0,0.6755392461197339,0.6794335246086121,0.14316,0.0,0.437937195841154,0.5557227190791266,0.05212782367087094,24,27,0.09545999999999999,False,0,16,1665
17,A,0.6456338857133843,3.395167027520074e-07,0.4443569277894035,0.0,0.6772443935926772,0.6812872290611267,0.16874,0.0,0.4432798636898279,0.5620171430297691,0.0528023881565968,27,28,0.09545999999999999,False,0,16,1665
