year,scenario,corruption_index,trust_index,gini_coefficient,coup_probability,iig_effectiveness,employment_rate,brain_drain_rate,ethnic_harmony,north_star_progress,stability_index,gdp_growth,shame_register_size,total_ruin_events,elite_budget_impact,elite_coup_signal,active_foreign_investors,run_id,seed
0,B,0.15954024221661753,0.22,0.55,0.45,0.05,0.58,0.35,0.32,0.1,0.18,0.02,0,0,0.07,False,0,34,3466
0,B,0.20637040961617953,0.38815152645111084,0.4493065721088749,0.43,0.1,0.6740947961807251,0.00928,0.6884625600650907,0.5513368738700908,0.5213958497232123,0.05140879273350147,0,0,0.09416999999999999,False,0,34,3466
1,B,0.25767505827221837,0.35687336325645447,0.44929748364297795,0.41,0.1,0.8132161498069763,0.00878,0.5860530082136393,0.5309768415151178,0.552726224718405,0.051525821990425866,0,0,0.07606799999999998,False,0,34,3466
2,B,0.30397383471368117,0.302144855260849,0.44928817175838676,0.38999999999999996,0.1,0.7994877099990845,0.00802,0.43245039507746696,0.5002292690281445,0.5316154192321658,0.05050177341540367,0,0,0.07793549999999999,False,0,34,3466
3,B,0.35372489821777714,0.23022547364234924,0.4492784795949085,0.36999999999999994,0.1,0.7764286994934082,0.00834,0.23781117051839828,0.4639132506267194,0.5042057055929344,0.049627903241005696,0,0,0.08108699999999999,False,0,34,3466
4,B,0.4068331856740938,0.14757350087165833,0.44926829990426675,0.3499999999999999,0.1,0.760299563407898,0.01046,0.0050233472138643265,0.4214044014112913,0.47059423407945544,0.04865046825751761,0,0,0.08516699999999999,False,0,34,3466
5,B,0.46502969900584273,0.07054626941680908,0.44925754752832003,0.3299999999999999,0.1,0.7331455945968628,0.01442,0.0,0.4017687895979215,0.4605417035814766,0.04757232143073452,0,0,0.089886,False,0,34,3466
6,B,0.5148162364730302,0.016580209136009216,0.4492464263519136,0.3099999999999999,0.1,0.7160206437110901,0.02114,0.0,0.38496259909994757,0.45111757524853935,0.04634153355454152,0,0,0.09303449999999999,False,0,34,3466
7,B,0.5669230800124939,0.0011468176962807775,0.4492350466055386,0.28999999999999987,0.1,0.6989410519599915,0.03124,0.0,0.3758075571809997,0.4437959408817425,0.04536304864228996,0,0,0.0952215,False,0,34,3466
8,B,0.6169924709220606,2.3028745999909006e-05,0.449223596688191,0.26999999999999985,0.1,0.6762701869010925,0.04162,0.0,0.36828269649075945,0.43589422999687655,0.044314957133569796,0,0,0.09586949999999998,False,0,34,3466
9,B,0.6324423480510217,7.760670541756554e-07,0.4492121351870011,0.24999999999999986,0.1,0.652223527431488,0.0522,0.0,0.36137640113603814,0.42850188226948493,0.04332798990545628,0,0,0.09591,False,0,34,3466
10,B,0.6479247920459134,1.3006645076529821e-06,0.44920067409085407,0.22999999999999987,0.10334510869565217,0.6393049359321594,0.06398,0.0,0.3621763642353359,0.4297644129872446,0.043379608206599335,0,0,0.09591,False,0,34,3466
11,B,0.6609364235989675,0.0,0.4491892134000117,0.20999999999999988,0.22312071627045382,0.6409071087837219,0.07492,0.0,0.3629688073741017,0.4310188019885217,0.04343024949771406,3,3,0.09591,False,0,34,3466
12,B,0.6726960492103067,2.914100960538235e-08,0.44917775311478314,0.2399999999999999,0.3709297658862876,0.6420816779136658,0.08656,0.0,0.36431120570840275,0.43289089410025816,0.043555015158030855,11,11,0.09591,True,0,34,3466
13,B,0.6762800628330984,0.0,0.44916629323446533,0.2699999999999999,0.4759095744680851,0.628948450088501,0.09978,0.0,0.3659321665788994,0.4350759876974234,0.04371734099254297,12,19,0.09591,True,0,34,3466
14,B,0.6819880107918973,4.315495516493684e-08,0.4491548337604714,0.2999999999999999,0.5466694966646451,0.6360341906547546,0.1145,0.0,0.36937221191757325,0.4393049842917255,0.044124935182662396,24,24,0.09591,True,0,34,3466
15,B,0.6742907648527648,0.0,0.4491433746917066,0.32999999999999985,0.620061413244543,0.6348690390586853,0.13366,0.0,0.3723396688764287,0.44300299730202575,0.04446881133863838,33,33,0.09591,True,0,34,3466
16,B,0.6654262977818699,0.0,0.4491319160277858,0.3599999999999998,0.7236637738656088,0.6350392699241638,0.15624,0.0,0.3782897879072935,0.45005230878680885,0.045214843307499995,39,40,0.09591,True,0,34,3466
