year,scenario,corruption_index,trust_index,gini_coefficient,coup_probability,iig_effectiveness,employment_rate,brain_drain_rate,ethnic_harmony,north_star_progress,stability_index,gdp_growth,shame_register_size,total_ruin_events,elite_budget_impact,elite_coup_signal,active_foreign_investors,run_id,seed
0,C,0.1566891655611238,0.22,0.55,0.45,0.05,0.58,0.35,0.32,0.1,0.18,0.02,0,0,0.07,False,0,66,6667
0,C,0.2281061921773749,0.3903159499168396,0.4287428860312865,0.445,0.05,0.6678375005722046,0.01008,0.6903392989188433,0.5422936944389316,0.5082108833509873,0.049899325033166284,0,0,0.09416999999999999,False,0,66,6667
1,C,0.294314435180363,0.3463822901248932,0.4287428860312865,0.44,0.05,0.7976090908050537,0.00928,0.5622777324169874,0.5079166287526035,0.5274710001483958,0.04896938537436588,0,0,0.07417499999999999,False,0,66,6667
2,C,0.372853018852872,0.27283522486686707,0.4287428860312865,0.435,0.05,0.7715029120445251,0.00892,0.3691077381372452,0.4628362354677605,0.49243275089652916,0.046983138084276246,0,0,0.07672499999999999,False,0,66,6667
3,C,0.455760665951541,0.17179059982299805,0.4287428860312865,0.43,0.05,0.7417383193969727,0.00994,0.10665437579154968,0.40395937060947734,0.44416938836057923,0.04462698057410098,0,0,0.08083949999999998,False,0,66,6667
4,C,0.5280383710331421,0.07026349753141403,0.4287428860312865,0.425,0.05,0.7028484344482422,0.01346,0.0,0.3596179162071309,0.38802619770954777,0.0421397511611409,0,0,0.086502,False,0,66,6667
5,C,0.5933602709882492,0.009693668223917484,0.4287428860312865,0.42,0.05,0.6629108190536499,0.01958,0.0,0.33445065243035016,0.33872279930042226,0.03997142000869287,0,0,0.09127499999999998,False,0,66,6667
6,C,0.6662384020343154,0.00014995677338447422,0.4287428860312865,0.415,0.05,0.6403329372406006,0.02854,0.0,0.3184849729727589,0.3216599322529377,0.03801176301003966,0,0,0.09370499999999998,False,0,66,6667
7,C,0.7186765659189271,1.4261311207519611e-06,0.4287428860312865,0.45999999999999996,0.05,0.6105260848999023,0.03886,0.0,0.3022473092186696,0.30344039949142115,0.035825419078657675,0,0,0.09410999999999999,True,0,66,6667
8,C,0.7797643988670856,0.0,0.4287428860312865,0.505,0.05,0.5800321102142334,0.0516,0.0,0.2905796038346754,0.29033085852026824,0.03425227416211932,2,2,0.09410999999999999,True,0,66,6667
9,C,0.8087898602301028,0.0,0.4287428860312865,0.55,0.05,0.5510116219520569,0.06418,0.0,0.27698756100371014,0.2750589002832286,0.03241963917367457,3,5,0.09410999999999999,True,0,66,6667
10,C,0.8272132402061537,0.0,0.4287428860312865,0.5950000000000001,0.05,0.5378661751747131,0.07688,0.0,0.27052939585043884,0.2678025349424743,0.031548875332784054,5,6,0.09410999999999999,True,0,66,6667
11,C,0.8420644642559028,0.0,0.4287428860312865,0.6,0.05,0.5242211818695068,0.09012,0.0,0.26643019380576743,0.26319668994846157,0.03099617393350252,6,14,0.09410999999999999,True,0,66,6667
12,C,0.8561498695565002,0.0,0.4287428860312865,0.6,0.05,0.5245459079742432,0.10532,0.0,0.2631257964546983,0.25948388393602434,0.030550637212010054,16,26,0.09410999999999999,True,0,66,6667
13,C,0.868681968185828,0.0,0.4287428860312865,0.6,0.05,0.5127943158149719,0.1232,0.0,0.2599917937753154,0.255962532610875,0.03012807505299213,32,39,0.09410999999999999,True,0,66,6667
14,C,0.8736478526666895,0.0,0.4287428860312865,0.6,0.05,0.5018302202224731,0.14666,0.0,0.25720340183028995,0.25282950795354303,0.0297521120941123,40,44,0.09410999999999999,True,0,66,6667
15,C,0.8808913343982332,0.0,0.4287428860312865,0.6,0.05,0.5025985240936279,0.17904,0.0,0.25609849253329825,0.25158803683332764,0.029603135559686446,46,57,0.09410999999999999,True,0,66,6667
16,C,0.8845263082826987,0.0,0.4287428860312865,0.6,0.05,0.4968755841255188,0.2203,0.0,0.2544868178480298,0.24977716640044173,0.029385831107740137,63,63,0.09410999999999999,True,0,66,6667
17,C,0.8873918299579382,0.0,0.4287428860312865,0.6,0.05,0.4946552515029907,0.275,0.0,0.2536780361587362,0.24886842292932532,0.029276781891206173,75,76,0.09410999999999999,True,0,66,6667
18,C,0.8893308113825383,0.0,0.4287428860312865,0.6,0.05,0.4956667125225067,0.34378,0.0,0.25304045758599547,0.24815204251051548,0.02919081624094899,83,83,0.09410999999999999,True,0,66,6667
19,C,0.8914753777935399,0.0,0.4287428860312865,0.6,0.05,0.49405673146247864,0.4204,0.0,0.2526090342190219,0.24766729715436542,0.02913264679821099,91,91,0.09410999999999999,True,0,66,6667
20,C,0.8927031613987686,0.0,0.4287428860312865,0.6,0.05,0.4920967221260071,0.50584,0.0,0.25213186819257405,0.24713115555161502,0.02906830980588094,96,96,0.09410999999999999,True,0,66,6667
21,C,0.8949581462667155,0.0,0.4287428860312865,0.6,0.05,0.4919711947441101,0.59194,0.0,0.2518586863404107,0.24682420965030788,0.029031476297724075,96,99,0.09410999999999999,True,0,66,6667
22,C,0.8956175638804492,0.0,0.4287428860312865,0.6,0.05,0.49235522747039795,0.67566,0.0,0.2513569522072925,0.24626046343332114,0.02896382675168567,101,101,0.09410999999999999,True,0,66,6667
23,C,0.8976455336487404,0.0,0.4287428860312865,0.6,0.05,0.4894668161869049,0.753,0.0,0.2512102317882367,0.2460956090298877,0.02894404422327366,101,101,0.09410999999999999,True,0,66,6667
24,C,0.8987650148394933,0.0,0.4287428860312865,0.6,0.05,0.4911831319332123,0.81746,0.0,0.25075900851479194,0.2455886165878149,0.028883205130224923,101,101,0.09410999999999999,True,0,66,6667
25,C,0.898835731044378,0.0,0.4287428860312865,0.6,0.05,0.49041256308555603,0.87028,0.0,0.25050992394984944,0.24530874629012667,0.028849620694502337,101,104,0.09410999999999999,True,0,66,6667
26,C,0.9000337294770452,0.0,0.4287428860312865,0.6,0.05,0.48549333214759827,0.91182,0.0,0.2504941895942626,0.24529106723890554,0.028847499208355797,104,105,0.09410999999999999,True,0,66,6667
27,C,0.9007840494467468,0.0,0.4287428860312865,0.6,0.05,0.49093154072761536,0.9433,0.0,0.2502276349429941,0.2449915676307387,0.028811559255375777,105,105,0.09410999999999999,True,0,66,6667
28,C,0.9009518689435182,0.0,0.4287428860312865,0.6,0.05,0.49359411001205444,0.96494,0.0,0.2500606887497355,0.2448039876383133,0.028789049656284732,105,105,0.09410999999999999,True,0,66,6667
29,C,0.9027986641499489,0.0,0.4287428860312865,0.6,0.05,0.48856985569000244,0.97984,0.0,0.2500233489117039,0.24476203276412045,0.02878401507138159,105,105,0.09410999999999999,True,0,66,6667
30,C,0.9041437108346064,0.0,0.4287428860312865,0.6,0.05,0.4919619858264923,0.98864,0.0,0.24961243697827307,0.24430033396251277,0.028728611215188667,105,105,0.09410999999999999,True,0,66,6667
31,C,0.9053719529588851,0.0,0.4287428860312865,0.6,0.05,0.48742178082466125,0.99406,0.0,0.24931316409093673,0.24396407229134842,0.02868825981464894,105,105,0.09410999999999999,True,0,66,6667
32,C,0.9069227865767608,0.0,0.4287428860312865,0.6,0.05,0.48559918999671936,0.99708,0.0,0.24903988021828477,0.24365701176027876,0.02865141255092058,105,105,0.09410999999999999,True,0,66,6667
33,C,0.9077164074229127,0.0,0.4287428860312865,0.6,0.05,0.4883687198162079,0.99846,0.0,0.24869481973830737,0.24326930335580982,0.028604887542384307,105,105,0.09410999999999999,True,0,66,6667
34,C,0.9076776887510393,0.0,0.4287428860312865,0.6,0.05,0.4848768413066864,0.99916,0.0,0.24851823910003862,0.24307089814427185,0.028581078916999757,105,105,0.09410999999999999,True,0,66,6667
35,C,0.9090892263535175,0.0,0.4287428860312865,0.6,0.05,0.47852814197540283,0.9997,0.0,0.24852685400453045,0.24308057781224018,0.028582240477155955,105,105,0.09410999999999999,True,0,66,6667
36,C,0.9101320575779365,0.0,0.4287428860312865,0.6,0.05,0.4805048108100891,0.99986,0.0,0.24821278688797904,0.24272769341162065,0.028539894349081607,105,105,0.09410999999999999,True,0,66,6667
37,C,0.9111904022875805,0.0,0.4287428860312865,0.6,0.05,0.48965948820114136,0.99998,0.0,0.24798075694054583,0.24246698560551588,0.02850860941234904,105,105,0.09410999999999999,True,0,66,6667
38,C,0.9116078309448243,0.0,0.4287428860312865,0.6,0.05,0.4890519678592682,1.0,0.0,0.24774527524265,0.2422023994281049,0.02847685907105972,105,105,0.09410999999999999,True,0,66,6667
