year,scenario,corruption_index,trust_index,grievance_index,merit_integrity,iig_effectiveness,coup_probability,ethnic_harmony,gini_coefficient,employment_rate,phd_output,knowledge_capital,brain_drain_rate,tax_compliance,shame_register_size,foreign_investors,stability_index,north_star_progress,total_ruin_events,fdi_net,inflation_rate,psych_probation_count,run_id,seed,final_year,simulation_failed
0,A,0.6593025144277056,0.22202038636560315,0.6190590026289329,0.0,0.05,0.45,0.25791899804656604,0.41456212087958993,0.5807770961145194,0,0.0,0.0,0.9,0,0,0.18,0.263,0,0.0,0.12,0,43,4365,50,False
0,A,0.7216893300300458,0.2154142704559228,1.0,0.0,0.0,0.43,0.2642738783960855,0.4091454022400572,0.5869710096634455,0,0.0,0.1928,0.9974,0,0,0.48250000000000004,0.2671297906159775,0,0.0,0.1281337033921286,0,43,4365,50,False
1,A,0.7798489174834513,0.3222082644322899,1.0,0.0,0.0002,0.41,0.27082058157963645,0.40106719949493463,0.5967530337815677,0,0.0,0.1624,0.9971,0,0,0.46900000000000003,0.2670483876873879,0,0.0,0.10588354307181254,0,43,4365,50,False
2,A,0.8424291724701982,0.3969640602157466,1.0,0.0,0.0004,0.38999999999999996,0.2756403902302829,0.3925638701290798,0.6025455131303367,0,0.0,0.0981,0.9971,0,0,0.49508456877828594,0.2649860513026568,0,0.0,0.07982805831580202,0,43,4365,50,False
3,A,0.8886734076922956,0.4492931172641661,1.0,0.0,0.024129903107250248,0.36999999999999994,0.28094487737075163,0.3851175512745098,0.6065313887127457,0,0.0,0.0651,0.997,1,0,0.5157527669230861,0.2586058855125748,1,0.0,0.059170397776761016,0,43,4365,50,False
4,A,0.9205304409860937,0.4859234571980615,1.0,0.0,0.052141463414634145,0.3499999999999999,0.285355692219595,0.37757199699972627,0.6099390529770277,0,0.0,0.0487,0.9957,3,0,0.5361589910905338,0.2532731729801463,3,0.0,0.03640907483817258,0,43,4365,50,False
5,A,0.942294183987902,0.5090864151400243,1.0,0.0,0.169005922336631,0.3299999999999999,0.28936823156142993,0.3745433668115122,0.6127685886535786,0,0.0,0.0317,0.9956,3,0,0.5545534422275935,0.2504909873638753,12,0.0,0.004433707032978216,0,43,4365,50,False
6,A,0.96137414452858,0.5253004856993979,1.0,0.0,0.23661562871268157,0.3099999999999999,0.2924854866140366,0.3661928886117357,0.6166487482721548,0,0.0,0.0235,0.9841,12,0,0.583798443026619,0.24901848807179114,34,0.0,0.0,0,43,4365,50,False
7,A,0.9776268598426265,0.53665033509096,1.0,0.0,0.33790359424920124,0.28999999999999987,0.2949348719761644,0.36243072703194196,0.619440623567171,0,0.0,0.0147,0.9784,54,0,0.604540631355535,0.24799908954228175,58,0.0,0.0,0,43,4365,50,False
8,A,0.9791453981198581,0.5445952296650569,1.0,0.0,0.474266751089965,0.26999999999999985,0.2968732472440359,0.35590621888009033,0.6241274658573597,0,0.0,0.0164,0.9745,71,0,0.6295543388467687,0.24726179822945138,90,0.0,0.0,0,43,4365,50,False
9,A,0.9691685561196436,0.5351988866105682,1.0,0.0,0.5437574930563941,0.24999999999999986,0.29940166461667367,0.34963400958417123,0.627714113389626,0,0.0,0.0107,0.9593,107,0,0.6592831712354124,0.24710335673236924,131,0.0,0.0,0,43,4365,50,False
10,A,0.9560763471283285,0.5286214464724248,1.0,0.0,0.6985217391304348,0.22999999999999987,0.3015760510073825,0.3425880494157365,0.6316501352569883,0,0.0,0.0073,0.9477,153,0,0.6748593914200585,0.24998040466759056,160,0.0,0.0,0,43,4365,50,False
11,A,0.9402486155727493,0.5240172383757257,1.0,0.0,0.7380381502890172,0.20999999999999988,0.3030708622477215,0.33757342120949096,0.6343138718829326,0,0.0,0.0058,0.9324,173,0,0.7040808545539421,0.2540904535997984,188,0.0,0.0,0,43,4365,50,False
12,A,0.9237161867051359,0.5207942927080371,1.0,0.0,0.8765379310344827,0.1899999999999999,0.3053658616315103,0.33292552657771596,0.6365253483545805,0,0.0,0.0052,0.9265,188,0,0.7166130945836735,0.25855342673945614,213,0.0,0.0,0,43,4365,50,False
13,A,0.9065213940599635,0.5189423059657046,1.0,0.0,0.9167422125613411,0.1699999999999999,0.3077952145379918,0.3285517606867535,0.6386678455643973,0,0.0,0.0037,0.9085,218,0,0.7444114065446543,0.2638474139696745,230,0.0,0.0,0,43,4365,50,False
14,A,0.887552912684605,0.5176459152460731,1.0,0.0,0.9371839541547278,0.1499999999999999,0.3098344102643259,0.3232432276023308,0.6424597364568082,0,0.0,0.0031,0.8982,236,0,0.7578594089743583,0.26959373569595924,240,0.0,0.0,0,43,4365,50,False
15,A,0.8687325192942514,0.5167384417423282,1.0,0.0,0.9687142857142856,0.12999999999999992,0.31186002837573445,0.3202623664156054,0.6446028513238289,0,0.0,0.0022,0.8806,240,0,0.7685178223538389,0.2761840140202646,245,0.0,0.0,0,43,4365,50,False
16,A,0.8491896621513937,0.516103210289711,1.0,0.0,0.9803428571428571,0.10999999999999992,0.3138657874860505,0.31763176435111024,0.6494070002892681,0,0.0,0.0033,0.8693,249,0,0.7809618785861034,0.2821725349759905,251,0.0,0.0,0,43,4365,50,False
17,A,0.8294753764371103,0.5157648744049533,1.0,0.0,0.9891142857142856,0.08999999999999991,0.315828985234786,0.3157152587219336,0.6527058146229131,0,0.0,0.003,0.8553,254,0,0.7905063188492207,0.29049776412706874,254,0.0,0.0,0,43,4365,50,False
18,A,0.8097039478656812,0.5155280392856256,1.0,0.0,0.9921714285714285,0.06999999999999991,0.3175377538098714,0.3133675908760846,0.6552866609046384,0,0.0,0.0025,0.8451,254,0,0.7997087228521362,0.29737813890321896,255,0.0,0.0,0,43,4365,50,False
19,A,0.7898753764371104,0.5153622547020906,1.0,0.0,0.9952285714285714,0.049999999999999906,0.3175576128109634,0.31172521299587225,0.6578188113098673,0,0.0,0.0015,0.8291,256,0,0.8080879770827485,0.30506043568326846,256,0.0,0.0,0,43,4365,50,False
