year,scenario,corruption_index,trust_index,grievance_index,merit_integrity,iig_effectiveness,coup_probability,ethnic_harmony,gini_coefficient,employment_rate,phd_output,knowledge_capital,brain_drain_rate,tax_compliance,shame_register_size,foreign_investors,stability_index,north_star_progress,total_ruin_events,fdi_net,inflation_rate,psych_probation_count,run_id,seed,final_year,simulation_failed
0,C,0.6568143572849314,0.22033736444385674,0.619850018732129,0.0,0.05,0.45,0.25617270869388936,0.4126372498450196,0.5853288364249578,0,0.0,0.0,0.9,0,0,0.18,0.263,0,0.0,0.12,0,19,1967,50,False
0,C,0.7417602792152196,0.19924903437998318,0.99999941229443,0.0,0.05,0.445,0.2636396931045731,0.40958630385003536,0.5925925925925926,0,0.0,0.2046,0.9995,0,0,0.48250000000000004,0.2656621779637587,0,0.0,0.10853214427332587,0,19,1967,50,False
1,C,0.8261538440178896,0.26394577442004286,0.9999997414108477,0.0,0.05,0.44,0.27049023101817277,0.4034517849406244,0.5980313054703889,0,0.0,0.1587,0.9993,0,0,0.46675,0.25354304063074895,0,0.0,0.08397373847927043,0,19,1967,50,False
2,C,0.8929925796301524,0.3076734890304342,0.9999996352497534,0.0,0.05,0.435,0.27626114491164105,0.3982395372505022,0.6061812967978334,0,0.0,0.0986,0.9986,0,0,0.476187160599975,0.23746395933795653,0,0.0,0.06128422636135468,0,19,1967,50,False
3,C,0.921083924383221,0.3367903530966504,0.999999507123715,0.0,0.05,0.43,0.2808011984905761,0.39070725823232244,0.6118957940991839,0,0.0,0.0708,0.9975,0,0,0.4830181730199574,0.2271264797726865,1,0.0,0.040382832854542375,0,19,1967,50,False
4,C,0.9341173153113168,0.3557357217504116,0.9999999105929375,0.0,0.05,0.425,0.28532322277734584,0.3838542466903507,0.615742897065673,0,0.0,0.0457,0.9955,1,0,0.4880248817139452,0.2232704903312632,2,0.0,0.022079012618366138,0,19,1967,50,False
5,C,0.9429607877372589,0.4020884405994486,0.9999997681304749,0.0,0.05,0.42,0.2886199338152249,0.37991585688038454,0.6188057863958141,0,0.0,0.0351,0.9899,7,0,0.4917545777997366,0.22970765047857175,12,0.0,0.0,0,19,1967,50,False
6,C,0.9474817139272173,0.4330091046690511,0.9999995921515379,0.0,0.05,0.415,0.2909230556131675,0.3768384530195144,0.6227909811090798,0,0.0,0.0265,0.9852,16,0,0.5032502358746842,0.23454903795063345,34,0.0,0.0,0,19,1967,50,False
7,C,0.9491500787441065,0.4531566555900631,0.9999992764852792,0.0,0.05,0.41,0.2939517698365736,0.37503940271505276,0.6246973365617433,0,0.0,0.0187,0.9808,38,0,0.5115221965271474,0.2396466594694832,54,0.0,0.0,0,19,1967,50,False
8,C,0.9497724420026967,0.4657419871895654,0.9999998250733979,0.0,0.05,0.40499999999999997,0.2964100204708125,0.3724331294984693,0.6288721804511278,0,0.0,0.0127,0.9794,54,0,0.5175375689838717,0.24278101624989437,102,0.0,0.0,0,19,1967,50,False
