scenario,kpi,year,mean,std,min,max,n
A,corruption_index,4,0.894,,0.894,0.894,1
A,trust_index,4,0.4263,,0.4263,0.4263,1
A,iig_effectiveness,4,0.0704,,0.0704,0.0704,1
A,coup_probability,4,0.35,,0.35,0.35,1
A,ethnic_harmony,4,0.2931,,0.2931,0.2931,1
A,gini_coefficient,4,0.2256,,0.2256,0.2256,1
A,employment_rate,4,0.59,,0.59,0.59,1
A,north_star_progress,4,0.2467,,0.2467,0.2467,1
A,stability_index,4,0.5202,,0.5202,0.5202,1
A,shame_register_size,4,3.0,,3.0,3.0,1
A,total_ruin_events,4,3.0,,3.0,3.0,1
C,corruption_index,4,0.9382,,0.9382,0.9382,1
C,trust_index,4,0.3762,,0.3762,0.3762,1
C,iig_effectiveness,4,0.05,,0.05,0.05,1
C,coup_probability,4,0.6,,0.6,0.6,1
C,ethnic_harmony,4,0.2977,,0.2977,0.2977,1
C,gini_coefficient,4,0.2644,,0.2644,0.2644,1
C,employment_rate,4,0.5074,,0.5074,0.5074,1
C,north_star_progress,4,0.1978,,0.1978,0.1978,1
C,stability_index,4,0.4046,,0.4046,0.4046,1
C,shame_register_size,4,1.0,,1.0,1.0,1
C,total_ruin_events,4,3.0,,3.0,3.0,1
