year,scenario,corruption_index,trust_index,gini_coefficient,coup_probability,iig_effectiveness,employment_rate,brain_drain_rate,ethnic_harmony,north_star_progress,stability_index,gdp_growth,shame_register_size,total_ruin_events,elite_budget_impact,elite_coup_signal,active_foreign_investors,run_id,seed
0,A,0.14516396592569292,0.22,0.55,0.45,0.05,0.58,0.35,0.32,0.1,0.18,0.02,0,0,0.07,False,0,95,9565
0,A,0.1840170456505426,0.3955577313899994,0.4613662306147599,0.0,0.0,0.6717076897621155,0.00888,0.7024382948875427,0.5620778101767758,0.5426489165929071,0.05255708102222921,0,0,0.09416999999999999,False,0,95,9565
1,A,0.221726945268295,0.37595754861831665,0.4613556163444279,0.0,0.0002,0.8208724856376648,0.0079,0.6240651290863752,0.5507094450460897,0.5732403014653424,0.05314982632433612,0,0,0.07673999999999999,False,0,95,9565
2,A,0.25950031440987,0.3389798104763031,0.4613448339727859,0.0,0.0004,0.8199914693832397,0.00682,0.508556704968214,0.532670848301699,0.5641208707887876,0.052890635478506864,0,0,0.078018,False,0,95,9565
3,A,0.3154113586612774,0.28624096512794495,0.46133375341434024,0.0,0.0006,0.802605152130127,0.0067,0.3576810546219349,0.5087682180385095,0.5491368380020987,0.052629542227976035,0,0,0.0802065,False,0,95,9565
4,A,0.35449306983445017,0.2126559317111969,0.4613222405374111,0.0,0.0008,0.7856040000915527,0.00778,0.1557055115699768,0.4726226864071943,0.5361471603346806,0.05182432170601827,0,0,0.083259,False,0,95,9565
5,A,0.39673662773106755,0.13549970090389252,0.46131015656252794,0.0,0.001,0.7697920799255371,0.0099,0.0,0.44431306527758513,0.5354701708419497,0.051523985499592376,0,0,0.0874275,False,0,95,9565
6,A,0.43558423968564774,0.06650475412607193,0.4612975130452037,0.0,0.0012,0.755523145198822,0.01422,0.0,0.43206513389451934,0.5339657154728712,0.05112879960244269,0,0,0.09152249999999999,False,0,95,9565
7,A,0.4852995314348062,0.01946939341723919,0.4612844898966262,0.0,0.05695555555555555,0.7430558800697327,0.0207,0.0,0.4238158344790237,0.5332465639960832,0.05083549767897853,0,0,0.0942765,False,0,95,9565
8,A,0.5254365014824985,0.002481727860867977,0.46127119369463543,0.0,0.15497931034482756,0.7243036031723022,0.02876,0.0,0.41759543393173326,0.529735209066968,0.05021616915798956,0,0,0.0962205,False,0,95,9565
9,A,0.5482462271363844,0.00015924210310913622,0.4612578114403081,0.0,0.19307789046653143,0.7129048109054565,0.03824,0.0,0.41564713795078145,0.5285448600192648,0.04988419301857869,0,1,0.096909,False,0,95,9565
10,A,0.5601401461884105,1.5396859453176148e-05,0.46124441458504295,0.0,0.3167368421052631,0.7012022733688354,0.04834,0.0,0.41782995816079016,0.5316225797334343,0.050072035071505386,2,2,0.09698999999999999,False,0,95,9565
11,A,0.5779202191653011,7.284520961547969e-06,0.4612310182734882,0.0,0.321411324570273,0.7005938291549683,0.05942,0.0,0.4224211785108908,0.5373783425734031,0.050587351468497264,3,3,0.09698999999999999,False,0,95,9565
12,A,0.5938612858272281,4.56355519418139e-06,0.4612176225055944,0.0,0.37739999999999996,0.6970082521438599,0.07,0.0,0.425672777990202,0.5416241165946909,0.05092608324230609,3,6,0.09698999999999999,False,0,95,9565
13,A,0.6070298910642187,3.3752084505067614e-07,0.4612042272817283,0.0,0.43102835130970724,0.6943272352218628,0.08066,0.0,0.4293109716602963,0.5463016935753087,0.05131998520012721,6,8,0.09698999999999999,False,0,95,9565
14,A,0.6149617421657182,1.3366594657782116e-06,0.4611908326015275,0.0,0.4436408408408408,0.6952918171882629,0.09224,0.0,0.43355098993251723,0.551652596184135,0.05179706099525616,8,8,0.09698999999999999,False,0,95,9565
15,A,0.625535138555467,2.013428229474812e-06,0.46117743846518255,0.0,0.4679197860962567,0.6923823356628418,0.10534,0.0,0.43894512555139537,0.5582989222836492,0.05243123940901319,8,10,0.09698999999999999,False,0,95,9565
16,A,0.6313100449868058,1.8384954501016182e-06,0.4611640448728025,0.0,0.5232,0.692479133605957,0.12108,0.0,0.4437438218853444,0.5642754025053676,0.052986171458684166,15,20,0.09698999999999999,False,0,95,9565
