year,scenario,corruption_index,trust_index,gini_coefficient,coup_probability,iig_effectiveness,employment_rate,brain_drain_rate,ethnic_harmony,north_star_progress,stability_index,gdp_growth,shame_register_size,total_ruin_events,elite_budget_impact,elite_coup_signal,active_foreign_investors,run_id,seed
0,B,0.15808083293908726,0.22,0.55,0.45,0.05,0.58,0.35,0.32,0.1,0.18,0.02,0,0,0.07,False,0,36,3666
0,B,0.20886341946676615,0.39004531502723694,0.44735217044601105,0.43,0.1,0.6677303910255432,0.01008,0.6901095611974597,0.5523058010002835,0.521959549843088,0.05145257501182738,0,0,0.09416999999999999,False,0,36,3666
1,B,0.25803498184496615,0.3569827377796173,0.447340939165642,0.41,0.1,0.8088105916976929,0.0092,0.5844947230070829,0.5304930369413862,0.5525784347818414,0.0514705757115369,0,0,0.07579499999999999,False,0,36,3666
2,B,0.3164099296085964,0.301801472902298,0.4473294020504963,0.38999999999999996,0.1,0.7946354150772095,0.00852,0.4305851273238659,0.5001217029584344,0.5315161799495061,0.050510541152994595,0,0,0.07776749999999999,False,0,36,3666
3,B,0.3649655549740735,0.22376883029937744,0.44731740719589164,0.36999999999999994,0.1,0.7768634557723999,0.00894,0.22289988957345486,0.4588973929293715,0.5003346056403486,0.04927440809123715,0,0,0.080913,False,0,36,3666
4,B,0.4224136961572322,0.13813480734825134,0.4473047531846064,0.3499999999999999,0.1,0.7510762214660645,0.01084,0.0,0.41719627924807656,0.46588361125648164,0.04833285927881888,0,0,0.08532000000000001,False,0,36,3666
5,B,0.4739594763102904,0.06008627265691757,0.44729139143136676,0.3299999999999999,0.1,0.7336163520812988,0.01512,0.0,0.39694446871153233,0.456646575960692,0.04712454158343697,0,0,0.09014099999999999,False,0,36,3666
6,B,0.5267604372498594,0.011805937625467777,0.44727755565930893,0.3099999999999999,0.1,0.7113012075424194,0.02174,0.0,0.3824712161631144,0.44888513092242743,0.04609330179637762,0,0,0.0933,False,0,36,3666
7,B,0.5765343522672509,0.000641365593764931,0.44726344323867995,0.28999999999999987,0.1,0.6873584985733032,0.03048,0.0,0.3732860815596582,0.4408098906875352,0.04502441132591113,0,0,0.095244,False,0,36,3666
8,B,0.6224623255080596,1.4847882994217798e-05,0.4472492575443059,0.26999999999999985,0.1,0.6677795648574829,0.04102,0.0,0.36635518222426516,0.4334914119331873,0.04404633499959568,0,0,0.0956895,False,0,36,3666
