year,scenario,corruption_index,trust_index,grievance_index,merit_integrity,iig_effectiveness,coup_probability,ethnic_harmony,gini_coefficient,employment_rate,phd_output,knowledge_capital,brain_drain_rate,tax_compliance,shame_register_size,foreign_investors,stability_index,north_star_progress,total_ruin_events,fdi_net,inflation_rate,psych_probation_count,run_id,seed,final_year,simulation_failed
0,A,0.6510952040357658,0.22097258600744515,0.6203993873441843,0.0,0.05,0.45,0.2563741819545803,0.4107282387957062,0.5808908759728432,0,0.0,0.0,0.9,0,0,0.18,0.263,0,0.0,0.12,0,71,7165,50,False
0,A,0.7169652942137986,0.21468081020521215,1.0,0.0,0.0,0.43,0.26384116636526406,0.40628066625923637,0.5899479505530254,0,0.0,0.1977,0.9978,0,0,0.48250000000000004,0.26920437418562715,0,0.0,0.11871950487553896,0,71,7165,50,False
1,A,0.7772242151395167,0.29885535775854666,1.0,0.0,0.0002,0.41,0.2699577071541843,0.39733758826482163,0.599968112244898,0,0.0,0.161,0.9949,0,0,0.46900000000000003,0.265139909839223,0,0.0,0.092190233653101,0,71,7165,50,False
2,A,0.8364259164936215,0.3577775410458832,1.0,0.0,0.0004,0.38999999999999996,0.2758739433487466,0.3921433551036641,0.6068900424728646,0,0.0,0.0997,0.9949,0,0,0.489374697653725,0.25881822378397457,0,0.0,0.08247241623492728,0,71,7165,50,False
3,A,0.8856400854328788,0.39902306934701537,1.0,0.0,0.01287323953902643,0.36999999999999994,0.28053544616936454,0.38374946745061045,0.6142100342785914,0,0.0,0.0696,0.9949,0,0,0.5060459860113324,0.2508071711839333,0,0.0,0.06824965526851029,0,71,7165,50,False
4,A,0.9217582003639259,0.4278949391578126,1.0,0.0,0.0481097840435081,0.3499999999999999,0.2836444950628728,0.3787310193887909,0.6195099398982894,0,0.0,0.0425,0.9938,1,0,0.5219658737925116,0.2445098764777488,1,0.0,0.054338490756875954,0,71,7165,50,False
5,A,0.945206220674209,0.4663941496340355,1.0,0.0,0.11266473745133115,0.3299999999999999,0.2867392949764182,0.3726795480820669,0.6234935163996949,0,0.0,0.0335,0.9893,2,0,0.5394855867634115,0.24417822224302602,11,0.0,0.02548128201982111,0,71,7165,50,False
6,A,0.9628923057071982,0.4933435969673916,1.0,0.0,0.26270104070864997,0.3099999999999999,0.28943184081516504,0.3673754803695152,0.6275757575757576,0,0.0,0.0253,0.987,20,0,0.5647050170834111,0.2448824439781296,29,0.0,0.0,0,71,7165,50,False
7,A,0.9754090610929246,0.5122082101007391,1.0,0.0,0.40935404944248244,0.28999999999999987,0.2916509759533201,0.36124554908843143,0.6308502633559067,0,0.0,0.019,0.9783,40,0,0.6004857936881871,0.2448303382145902,60,0.0,0.0,0,71,7165,50,False
8,A,0.9828119709144328,0.5254134392940892,1.0,0.0,0.49489365442725025,0.26999999999999985,0.29384291701300935,0.3563744726869845,0.6331183440827959,0,0.0,0.0162,0.964,78,0,0.6341764767795868,0.24600485181816092,85,0.0,0.0,0,71,7165,50,False
