year,scenario,corruption_index,trust_index,grievance_index,merit_integrity,iig_effectiveness,coup_probability,ethnic_harmony,gini_coefficient,employment_rate,phd_output,knowledge_capital,brain_drain_rate,tax_compliance,shame_register_size,foreign_investors,stability_index,north_star_progress,total_ruin_events,fdi_net,inflation_rate,psych_probation_count,run_id,seed,final_year,simulation_failed
0,B,0.6472361770596468,0.21964233410335424,0.6200702354128466,0.0,0.05,0.45,0.2575500446522283,0.41113618077105957,0.572176262029377,0,0.0,0.0,0.9,0,0,0.18,0.263,0,0.0,0.12,0,86,8666,50,False
0,B,0.706118931485277,0.21374963387234927,1.0,0.0,0.1,0.43,0.2666851851546624,0.40643555496849954,0.5798277575356078,0,0.0,0.1949,0.9985,0,0,0.48250000000000004,0.26742620814096374,0,0.0,0.13802103250241257,0,86,8666,50,False
1,B,0.7530368022022574,0.2956111307904928,1.0,0.0,0.1,0.41,0.27357465976782863,0.3980524663064014,0.5883121123081946,0,0.0,0.1632,0.993,0,0,0.48275000000000007,0.26312589165208855,0,0.0,0.1085161492897563,0,86,8666,50,False
2,B,0.8119759004458664,0.35201417863319173,1.0,0.0,0.1,0.38999999999999996,0.27894751181038857,0.39095804296755426,0.5974883271614877,0,0.0,0.0979,0.9902,0,0,0.5015715967699622,0.26048115613121114,0,0.0,0.07697430438418554,0,86,8666,50,False
3,B,0.8566920955121938,0.3905963121230821,1.0,0.0,0.1,0.36999999999999994,0.28346661765759684,0.3838482935961373,0.6020343293070566,0,0.0,0.068,0.9835,0,0,0.5169217145089359,0.2532623475150818,0,0.0,0.047289124442876834,0,86,8666,50,False
4,B,0.8998916506780976,0.4167038055660052,1.0,0.0,0.1,0.3499999999999999,0.2872470910267798,0.37575156016491756,0.6079017786872344,0,0.0,0.0484,0.9828,0,0,0.5298417969262174,0.24649985109649045,1,0.0,0.026747253099059135,0,86,8666,50,False
5,B,0.9305485356075248,0.45694772058075,1.0,0.0,0.13968621428282746,0.3299999999999999,0.2897788242169054,0.37056700955876404,0.6097256857855362,0,0.0,0.0336,0.9766,11,0,0.5410608546183143,0.2444946958883991,11,0.0,0.0,0,86,8666,50,False
6,B,0.9540464347904155,0.48421846109106453,1.0,0.0,0.18811194402798598,0.3099999999999999,0.2926706687398323,0.36345879931442326,0.6128284389489954,0,0.0,0.0227,0.9722,23,0,0.5627592945463802,0.2428661696819722,28,0.0,0.0,0,86,8666,50,False
7,B,0.9662330330637137,0.5024079794482925,1.0,0.0,0.32403857290081955,0.28999999999999987,0.2952321493754677,0.35638691436085007,0.6168252993552349,0,0.0,0.0156,0.9625,31,0,0.5832200094581032,0.24120792587441767,44,0.0,0.0,0,86,8666,50,False
8,B,0.9721388942719306,0.5142406422983498,1.0,0.0,0.3978860265417642,0.26999999999999985,0.2975024397081898,0.3507054403875962,0.6219549330085262,0,0.0,0.0128,0.9532,44,0,0.6150218026039925,0.2420915043960686,72,0.0,0.0,0,86,8666,50,False
