year,scenario,corruption_index,trust_index,grievance_index,merit_integrity,iig_effectiveness,coup_probability,ethnic_harmony,gini_coefficient,employment_rate,phd_output,knowledge_capital,brain_drain_rate,tax_compliance,shame_register_size,foreign_investors,stability_index,north_star_progress,total_ruin_events,fdi_net,inflation_rate,psych_probation_count,run_id,seed,final_year,simulation_failed
0,C,0.6512327627802474,0.22120325857703543,0.6204697415817383,0.0,0.05,0.45,0.25668191769077425,0.40952595519333684,0.5870663523071741,0,0.0,0.0,0.9,0,0,0.18,0.263,0,0.0,0.12,0,28,2867,50,False
0,C,0.7360529046933609,0.19981524793039043,0.9999915622784011,0.0,0.05,0.445,0.2635134140665078,0.4056288030804477,0.5921529838443785,0,0.0,0.1975,0.9992,0,0,0.48250000000000004,0.26740507976637296,0,0.0,0.11521883355297519,0,28,2867,50,False
1,C,0.8103749943775949,0.28652752804610604,0.9999997150944165,0.0,0.05,0.44,0.27050378245097734,0.39869511429997784,0.6026640675763483,0,0.0,0.1561,0.9978,0,0,0.46675,0.25864227051405686,0,0.0,0.08603935856372795,0,28,2867,50,False
2,C,0.8735815736413044,0.3457421657123239,0.9999999621899633,0.0,0.05,0.435,0.27544704849034957,0.39520047539322384,0.6092874299439551,0,0.0,0.0966,0.9952,0,0,0.4817342368471957,0.2501737333424844,0,0.0,0.06385813364161717,0,28,2867,50,False
3,C,0.9180464784882931,0.3856383347510897,0.9999995843102529,0.0,0.05,0.43,0.27996303242587806,0.3878984829304911,0.6142653803574253,0,0.0,0.0659,0.9938,0,0,0.49244820264023254,0.242130692207325,1,0.0,0.025702594352868174,0,28,2867,50,False
4,C,0.9334263123130805,0.4121531234334954,0.9999999410398298,0.0,0.05,0.425,0.2837448645664791,0.38128015263607884,0.6168851435705368,0,0.0,0.047,0.9937,1,0,0.5001729786953585,0.2361049082890354,4,0.0,0.01120512267693189,0,28,2867,50,False
5,C,0.940741963572378,0.4266126548284118,0.999999372588444,0.0,0.05,0.42,0.28738555757353423,0.37633850214591824,0.6211910286156226,0,0.0,0.0343,0.9907,4,0,0.5058053219339465,0.23483853299133137,14,0.0,0.0,0,28,2867,50,False
6,C,0.9432206491792778,0.4352458930875248,0.9999996296476746,0.0,0.05,0.415,0.29007152651886475,0.3707786320684907,0.6235239993865972,0,0.0,0.0233,0.9871,24,0,0.5093246756972005,0.23655716954096587,33,0.0,0.0,0,28,2867,50,False
7,C,0.9459136084792923,0.4397181858178234,0.9999995450115771,0.0,0.05,0.41,0.29274145261523626,0.3692413767157229,0.6259135200974422,0,0.0,0.0151,0.98,43,0,0.5120132233314783,0.2368768437535233,59,0.0,0.0,0,28,2867,50,False
8,C,0.946535370076647,0.4413504662866683,0.9999995521246602,0.0,0.05,0.40499999999999997,0.29484401480446304,0.36491416332658566,0.6295121582842471,0,0.0,0.0129,0.9767,90,0,0.5141202066754728,0.23703564892786605,105,0.0,0.0,0,28,2867,50,False
9,C,0.9463911360609729,0.43871261793883976,0.999999544789556,0.0,0.05,0.39999999999999997,0.29731982070918733,0.3614578702056973,0.6328241988619348,0,0.0,0.0093,0.9715,126,0,0.5158200950162688,0.2382195223534869,143,0.0,0.0,0,28,2867,50,False
10,C,0.9466167352271571,0.4353426444724203,0.9999995583840026,0.0,0.05,0.39499999999999996,0.299808757903898,0.3571452788999955,0.636593717433378,0,0.0,0.008,0.9679,153,0,0.516655152878922,0.23962499308630641,181,0.0,0.0,0,28,2867,50,False
11,C,0.9460945072773067,0.4315061824402788,0.9999995098941269,0.0,0.05,0.38999999999999996,0.30189345016574737,0.3548314611021661,0.6392301998519615,0,0.0,0.0051,0.9618,209,0,0.5174646933827792,0.2411199612006419,215,0.0,0.0,0,28,2867,50,False
12,C,0.9457435432507985,0.4274067848010219,0.9999995732133635,0.0,0.05,0.38499999999999995,0.3037068688846304,0.35411481436914277,0.6422788164286766,0,0.0,0.005,0.9595,220,0,0.5182563717354794,0.24224986318388683,238,0.0,0.0,0,28,2867,50,False
