scenario,kpi,year,mean,std,min,max,n
B,corruption_index,49,0.2145,0.0096,0.1922,0.2375,100
B,trust_index,49,0.518,0.0177,0.4799,0.5558,100
B,iig_effectiveness,49,0.992,0.0,0.992,0.992,100
B,coup_probability,49,0.0,0.0,0.0,0.0,100
B,ethnic_harmony,49,0.3153,0.0016,0.3122,0.3208,100
B,gini_coefficient,49,0.3332,0.008,0.3148,0.3531,100
B,employment_rate,49,0.6533,0.0061,0.6376,0.667,100
B,north_star_progress,49,0.4763,0.0046,0.4656,0.4861,100
B,stability_index,49,0.8317,0.0055,0.8187,0.843,100
B,shame_register_size,49,248.45,13.4137,219.0,284.0,100
B,total_ruin_events,49,248.45,13.4137,219.0,284.0,100
