index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,institution_label,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
0,0,A,mfu_v7,0.72,0.22,0.6,0.3,iig_effectiveness,0.25,0.0,0.55,0.35,0.18,0.58,0.35,0.35,1.0,0,0.75,0,65,10,False,5,0,0.35,1.0
1,0,A,mfu_v7,0.7257,0.319,0.55,0.31,iig_effectiveness,0.23,0.0,0.011798071836600707,0.35,0.61515,0.4474,0.0013684210526315789,0.35,1.0,0,0.755,0,65,10,False,5,0,0.35,1.0
2,1,A,mfu_v7,0.7257,0.39627661177982976,0.55,0.30019999999999997,iig_effectiveness,0.21000000000000002,0.0,0.024279759759212653,0.35,0.6529827811908382,0.4629,0.002105263157894737,0.35,1.0,1,0.76,0,65,10,False,5,0,0.35,1.0
3,2,A,mfu_v7,0.7257,0.4579754344457828,0.55,0.3004,iig_effectiveness,0.19000000000000003,0.0,0.04424111686755283,0.35,0.6851404857759651,0.474,0.003263157894736842,0.35,1.0,1,0.765,0,65,10,False,5,0,0.35,1.0
4,3,A,mfu_v7,0.7257,0.4741477565317506,0.55,0.3006,iig_effectiveness,0.17000000000000004,0.0,0.05687010215806638,0.35,0.6805906862379343,0.4759,0.0038947368421052633,0.35,1.0,1,0.77,0,65,10,False,5,0,0.35,1.0
5,4,A,mfu_v7,0.7257,0.47716300515778304,0.55,0.3008,iig_effectiveness,0.15000000000000005,0.0,0.07505489068110134,0.35,0.6826627971565586,0.4734,0.0054736842105263155,0.35,1.0,1,0.7395511093354367,0,65,10,False,5,0,0.35,1.0
6,5,A,mfu_v7,0.7252,0.49396169923936395,0.55,0.301,iig_effectiveness,0.13000000000000006,0.0,0.08644080217490234,0.35,0.7033551521111268,0.4763,0.007157894736842105,0.35,1.0,2,0.7324618897666894,0,65,10,False,5,0,0.35,1.0
7,6,A,mfu_v7,0.7231,0.5127425736397541,0.55,0.30119999999999997,iig_effectiveness,0.11000000000000006,0.0,0.09762088415150598,0.35,0.7201415312772335,0.4831,0.008210526315789474,0.35,1.0,2,0.725372670197942,0,65,10,False,5,0,0.35,1.0
8,7,A,mfu_v7,0.719,0.5244485538364022,0.55,0.3014,iig_effectiveness,0.09000000000000005,0.0,0.11338346742728438,0.35,0.7293742452158853,0.4984,0.008947368421052631,0.35,1.0,2,0.7537323412937581,0,65,10,False,5,0,0.35,1.0
9,8,A,mfu_v7,0.7127,0.543224925462739,0.55,0.31343283582089554,iig_effectiveness,0.07000000000000005,0.0,0.12719136533123085,0.35,0.748295286578313,0.5133,0.01,0.35,1.0,2,0.7820920123895742,0,65,10,False,5,0,0.35,1.0
10,9,A,mfu_v7,0.7056,0.5526365251912199,0.55,0.35443037974683544,iig_effectiveness,0.050000000000000044,0.0,0.13219474729194589,0.35,0.7553502302373083,0.5286,0.011473684210526316,0.35,1.0,2,0.8104516834853902,0,65,10,False,5,0,0.35,1.0
