index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,institution_label,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
0,0,C,2008_myanmar_military,0.72,0.22,0.6,0.3,intel_effectiveness,0.25,0.0,0.55,0.35,0.18,0.58,0.35,0.35,1.0,0,0.75,0,67,10,False,10,9,0.44000000000000006,0.495
1,0,C,2008_myanmar_military,0.7339,0.17600000000000005,0.55,0.098,intel_effectiveness,0.27999999999999997,0.0,0.006346459644987241,0.35,0.5641,0.4455,0.0005263157894736842,0.35,0.44999999999999996,1,0.755,0,67,10,False,10,9,0.44000000000000006,0.495
2,1,C,2008_myanmar_military,0.7439,0.10080000000000001,0.55,0.0,intel_effectiveness,0.30999999999999994,0.0,0.027737106206053377,0.35,0.3192746636485274,0.4677,0.0016842105263157896,0.36,0.45999999999999996,2,0.781792452482065,0,67,10,False,10,9,0.44000000000000006,0.495
3,2,C,2008_myanmar_military,0.7539,0.1,0.55,0.0,intel_effectiveness,0.3399999999999999,0.0,0.05433074827033555,0.35,0.2982385476852128,0.4755,0.003157894736842105,0.37,0.47,2,0.8085849049641299,0,67,10,False,10,9,0.44000000000000006,0.495
4,3,C,2008_myanmar_military,0.7639,0.1,0.55,0.0,intel_effectiveness,0.3699999999999999,0.0,0.07514943652426276,0.35,0.2885313222263719,0.4945,0.005578947368421052,0.38,0.48,5,0.814835056961689,0,67,10,False,10,9,0.44000000000000006,0.495
5,4,C,2008_myanmar_military,0.7739,0.1,0.55,0.0,intel_effectiveness,0.39999999999999986,0.0,0.09279944193077827,0.35,0.27646244624408045,0.4985,0.007789473684210527,0.39,0.49,5,0.8210852089592481,0,67,10,False,10,9,0.44000000000000006,0.495
6,5,C,2008_myanmar_military,0.7839,0.1,0.55,0.045454545454545456,intel_effectiveness,0.4299999999999998,0.0,0.10661047039778948,0.35,0.27578175774705727,0.5348,0.010105263157894737,0.4,0.5,1,0.7878374192557092,0,67,10,False,10,9,0.44000000000000006,0.495
7,6,C,2008_myanmar_military,0.7939,0.1,0.55,0.12,intel_effectiveness,0.4599999999999998,0.0,0.12110838172315207,0.35,0.26593484555172076,0.5518,0.011789473684210527,0.41000000000000003,0.51,2,0.8149400689148234,0,67,10,False,10,9,0.44000000000000006,0.495
8,7,C,2008_myanmar_military,0.8039,0.1,0.55,0.25862068965517243,intel_effectiveness,0.48999999999999977,0.0,0.13699574748431978,0.35,0.2537281681015375,0.5694,0.012947368421052631,0.42000000000000004,0.52,2,0.8420427185739376,0,67,10,False,10,9,0.44000000000000006,0.495
9,8,C,2008_myanmar_military,0.8139,0.1,0.55,0.3484848484848485,intel_effectiveness,0.5199999999999998,0.0,0.14841685976552474,0.35,0.24608065233355056,0.5745,0.013578947368421053,0.43000000000000005,0.53,1,0.8691453682330519,0,67,10,False,10,9,0.44000000000000006,0.495
10,9,C,2008_myanmar_military,0.8239,0.1,0.55,0.5362318840579711,intel_effectiveness,0.5499999999999998,0.0,0.1622435799663354,0.35,0.23031152654849046,0.5904,0.014210526315789474,0.44000000000000006,0.54,1,0.8741453682330519,0,67,10,False,10,9,0.44000000000000006,0.495
0,0,C,2008_myanmar_military,0.72,0.22,0.6,0.3,intel_effectiveness,0.25,0.0,0.55,0.35,0.18,0.58,0.35,0.35,1.0,0,0.75,1,167,10,False,9,9,0.44000000000000006,0.495
1,0,C,2008_myanmar_military,0.7187,0.17600000000000005,0.55,0.098,intel_effectiveness,0.27999999999999997,0.0,0.0034190530598806365,0.35,0.5641,0.4194,0.0009473684210526315,0.35,0.44999999999999996,0,0.755,1,167,10,False,9,9,0.44000000000000006,0.495
