index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,institution_label,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
0,0,A,mfu_v7,0.72,0.22,0.6,0.3,iig_effectiveness,0.25,0.0,0.55,0.35,0.18,0.58,0.35,0.35,1.0,0,0.75,64,6465,50,False,30,0,0.35,1.0
1,0,A,mfu_v7,0.7114,0.319,0.55,0.31,iig_effectiveness,0.23,0.0,0.18256318203140093,0.35,0.61515,0.3633,0.042,0.35,1.0,0,0.755,64,6465,50,False,30,0,0.35,1.0
2,1,A,mfu_v7,0.7114,0.39608980642422825,0.55,0.30019999999999997,iig_effectiveness,0.21000000000000002,0.0,0.22292291707358033,0.35,0.6528053161030168,0.3771,0.076,0.35,1.0,0,0.76,64,6465,50,False,30,0,0.35,1.0
3,2,A,mfu_v7,0.7114,0.4556660570782954,0.55,0.3004,iig_effectiveness,0.19000000000000003,0.0,0.23274273019049346,0.35,0.6830250355262049,0.3851,0.10968421052631579,0.35,1.0,0,0.765,64,6465,50,False,30,0,0.35,1.0
4,3,A,mfu_v7,0.7114,0.47811263946089894,0.55,0.3006,iig_effectiveness,0.17000000000000004,0.0,0.24488945109424815,0.35,0.6853272635149699,0.3922,0.14463157894736842,0.35,1.0,0,0.77,64,6465,50,False,30,0,0.35,1.0
5,4,A,mfu_v7,0.7109,0.4980912866392978,0.55,0.3008,iig_effectiveness,0.15000000000000005,0.0,0.24312158116740337,0.35,0.7008794137337553,0.3958,0.18189473684210528,0.35,1.0,1,0.7513664402242649,64,6465,50,False,30,0,0.35,1.0
6,5,A,mfu_v7,0.7105,0.5069825136266135,0.55,0.301,iig_effectiveness,0.13000000000000006,0.0,0.2465203067226335,0.35,0.7069350475567777,0.4156,0.22557894736842105,0.35,1.0,1,0.7327328804485298,64,6465,50,False,30,0,0.35,1.0
7,6,A,mfu_v7,0.7084,0.5102155371925013,0.55,0.30119999999999997,iig_effectiveness,0.11000000000000006,0.0,0.24909276931638183,0.35,0.7122721046096985,0.4344,0.27073684210526316,0.35,1.0,1,0.6942406680937768,64,6465,50,False,30,0,0.35,1.0
8,7,A,mfu_v7,0.7048,0.523151949290859,0.55,0.3014,iig_effectiveness,0.09000000000000005,0.0,0.2509122084480484,0.35,0.7292038262054654,0.4505,0.3177894736842105,0.35,1.0,1,0.679382015514759,64,6465,50,False,30,0,0.35,1.0
9,8,A,mfu_v7,0.6973,0.5346017860414032,0.55,0.3793103448275862,iig_effectiveness,0.07000000000000005,0.0,0.25474417577643116,0.35,0.7406478780371721,0.4748,0.3658947368421053,0.35,1.0,2,0.6847843661816105,64,6465,50,False,30,0,0.35,1.0
10,9,A,mfu_v7,0.6876,0.5528849528808591,0.55,0.484375,iig_effectiveness,0.050000000000000044,0.0,0.25542604464204166,0.35,0.7592079550994268,0.4972,0.40957894736842104,0.35,1.0,2,0.71004536942748,64,6465,50,False,30,0,0.35,1.0
11,10,A,mfu_v7,0.6767,0.5576898543771943,0.55,0.5428571428571428,iig_effectiveness,0.030000000000000044,0.0,0.2610414248365273,0.35,0.7620936814483736,0.5167,0.44821052631578945,0.35,1.0,3,0.7136307736156895,64,6465,50,False,30,0,0.35,1.0
12,11,A,mfu_v7,0.6644,0.5808005708999981,0.55,0.6164383561643836,iig_effectiveness,0.010000000000000044,0.0,0.2629708801304758,0.35,0.7880308035165766,0.5386,0.48126315789473684,0.35,1.0,2,0.6995840206465415,64,6465,50,False,30,0,0.35,1.0
13,12,A,mfu_v7,0.6522,0.5891617763699004,0.55,0.6075949367088608,iig_effectiveness,0.0,0.0,0.265682803749115,0.35,0.7922674477734062,0.5584,0.5096842105263157,0.35,1.0,1,0.665276264431524,64,6465,50,False,30,0,0.35,1.0
14,13,A,mfu_v7,0.6398,0.5971088664814285,0.55,0.6235294117647059,iig_effectiveness,0.0,0.0,0.26735570491873284,0.35,0.7993054770819987,0.5826,0.5363157894736842,0.35,1.0,1,0.6526441072741664,64,6465,50,False,30,0,0.35,1.0
15,14,A,mfu_v7,0.6269,0.6120635849992445,0.55,0.6444444444444445,iig_effectiveness,0.0,0.0,0.26836124589092547,0.35,0.8101746818270823,0.6076,0.5604210526315789,0.35,1.0,0,0.6576441072741664,64,6465,50,False,30,0,0.35,1.0
16,15,A,mfu_v7,0.6117,0.6156993308778118,0.55,0.7608695652173914,iig_effectiveness,0.0,0.0,0.2707401598617145,0.35,0.8073476586342385,0.6308,0.5873684210526315,0.35,1.0,0,0.6626441072741664,64,6465,50,False,30,0,0.35,1.0
17,16,A,mfu_v7,0.5957,0.6169333076225566,0.55,0.7956989247311828,iig_effectiveness,0.0,0.0,0.2712256419734716,0.35,0.8069929232727477,0.6527,0.6122105263157894,0.35,1.0,0,0.6676441072741665,64,6465,50,False,30,0,0.35,1.0
18,17,A,mfu_v7,0.5789,0.6338431556520652,0.55,0.8421052631578947,iig_effectiveness,0.0,0.0,0.27206143301470365,0.35,0.822539008667988,0.6753,0.6372631578947369,0.35,1.0,0,0.6726441072741665,64,6465,50,False,30,0,0.35,1.0
19,18,A,mfu_v7,0.5617,0.6303669658103959,0.55,0.86,iig_effectiveness,0.0,0.0,0.27350112446757013,0.35,0.8121344921460087,0.6998,0.6622105263157895,0.35,1.0,0,0.6776441072741665,64,6465,50,False,30,0,0.35,1.0
20,19,A,mfu_v7,0.5444,0.6346204470691732,0.55,0.8627450980392157,iig_effectiveness,0.0,0.0,0.27446084700293566,0.35,0.8176352990753482,0.7237,0.6846315789473684,0.35,1.0,1,0.6826441072741665,64,6465,50,False,30,0,0.35,1.0
21,20,A,mfu_v7,0.5277,0.6422640920783046,0.55,0.839622641509434,iig_effectiveness,0.0,0.0,0.27614157411886153,0.35,0.8231102997053366,0.7582,0.7050526315789474,0.35,1.0,2,0.7315432983093716,64,6465,50,False,30,0,0.35,1.0
22,21,A,mfu_v7,0.5103,0.650358279266551,0.55,0.8691588785046729,iig_effectiveness,0.0,0.0,0.27727521491875,0.35,0.8275894466303355,0.7779,0.7285263157894737,0.35,1.0,2,0.7804424893445767,64,6465,50,False,30,0,0.35,1.0
23,22,A,mfu_v7,0.4923,0.6520301962353949,0.55,0.8990825688073395,iig_effectiveness,0.0,0.0,0.2791257248397861,0.35,0.8257782091316737,0.8087,0.7496842105263158,0.35,1.0,1,0.8293416803797818,64,6465,50,False,30,0,0.35,1.0
