index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,institution_label,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
0,0,A,mfu_v7,0.72,0.22,0.6,0.3,iig_effectiveness,0.25,0.0,0.55,0.35,0.18,0.58,0.35,0.35,1.0,0,0.75,3,365,50,False,29,0,0.35,1.0
1,0,A,mfu_v7,0.7114,0.319,0.55,0.31,iig_effectiveness,0.23,0.0,0.16199883053789826,0.35,0.61515,0.3647,0.036,0.35,1.0,2,0.7802477048486461,3,365,50,False,29,0,0.35,1.0
2,1,A,mfu_v7,0.7114,0.396163453392501,0.55,0.30019999999999997,iig_effectiveness,0.21000000000000002,0.0,0.23396907241020062,0.35,0.6528752807228759,0.374,0.07094736842105263,0.35,1.0,1,0.8104954096972923,3,365,50,False,29,0,0.35,1.0
3,2,A,mfu_v7,0.7114,0.42661630711693294,0.55,0.3004,iig_effectiveness,0.19000000000000003,0.0,0.2546110864707624,0.35,0.6553968413362359,0.3848,0.10578947368421053,0.35,1.0,2,0.8407431145459384,3,365,50,False,29,0,0.35,1.0
4,3,A,mfu_v7,0.7114,0.446144118436399,0.55,0.3006,iig_effectiveness,0.17000000000000004,0.0,0.25006287750180867,0.35,0.6671580635254672,0.3976,0.14094736842105263,0.35,1.0,3,0.8709908193945846,3,365,50,False,29,0,0.35,1.0
5,4,A,mfu_v7,0.7114,0.4685923107185739,0.55,0.3008,iig_effectiveness,0.15000000000000005,0.0,0.2577405126224532,0.35,0.6862821654393576,0.4034,0.18021052631578946,0.35,1.0,2,0.9012385242432307,3,365,50,False,29,0,0.35,1.0
6,5,A,mfu_v7,0.7097,0.4820145315989127,0.55,0.301,iig_effectiveness,0.13000000000000006,0.0,0.25492804281060455,0.35,0.695605034517166,0.4243,0.2208421052631579,0.35,1.0,1,0.9314862290918768,3,365,50,False,29,0,0.35,1.0
7,6,A,mfu_v7,0.7065,0.5050319680106815,0.55,0.30119999999999997,iig_effectiveness,0.11000000000000006,0.0,0.2553778539428501,0.35,0.7178342663386039,0.4409,0.26726315789473687,0.35,1.0,0,0.9364862290918768,3,365,50,False,29,0,0.35,1.0
8,7,A,mfu_v7,0.7014,0.5032336282877405,0.55,0.3014,iig_effectiveness,0.09000000000000005,0.0,0.2534883444293954,0.35,0.7124585203088671,0.4591,0.3145263157894737,0.35,1.0,0,0.9414862290918768,3,365,50,False,29,0,0.35,1.0
9,8,A,mfu_v7,0.6947,0.5134077336272245,0.55,0.3333333333333333,iig_effectiveness,0.07000000000000005,0.0,0.2503556298982122,0.35,0.7288792230650123,0.479,0.36210526315789476,0.35,1.0,0,0.9464862290918769,3,365,50,False,29,0,0.35,1.0
10,9,A,mfu_v7,0.6862,0.5396228821702139,0.55,0.4246575342465753,iig_effectiveness,0.050000000000000044,0.0,0.2512318337313016,0.35,0.7555104899382687,0.497,0.40610526315789475,0.35,1.0,2,0.928190144667264,3,365,50,False,29,0,0.35,1.0
11,10,A,mfu_v7,0.6765,0.5518397607756171,0.55,0.4875,iig_effectiveness,0.030000000000000044,0.0,0.2511075602269992,0.35,0.7621061622253464,0.5189,0.444,0.35,1.0,1,0.9098940602426512,3,365,50,False,29,0,0.35,1.0
12,11,A,mfu_v7,0.6661,0.5679232210444431,0.55,0.5168539325842697,iig_effectiveness,0.010000000000000044,0.0,0.2519820815544096,0.35,0.7782543604664618,0.5362,0.4746315789473684,0.35,1.0,1,0.9148940602426512,3,365,50,False,29,0,0.35,1.0
13,12,A,mfu_v7,0.6547,0.5855459135410624,0.55,0.5729166666666666,iig_effectiveness,0.0,0.0,0.2526165507886971,0.35,0.7942408650253432,0.5482,0.5049473684210526,0.35,1.0,1,0.9028079411728559,3,365,50,False,29,0,0.35,1.0
14,13,A,mfu_v7,0.6431,0.5935383159689397,0.55,0.5784313725490197,iig_effectiveness,0.0,0.0,0.25240200382802797,0.35,0.7974321164832465,0.5683,0.535578947368421,0.35,1.0,0,0.8907218221030606,3,365,50,False,29,0,0.35,1.0
15,14,A,mfu_v7,0.6295,0.595230619546187,0.55,0.6792452830188679,iig_effectiveness,0.0,0.0,0.2536941018234643,0.35,0.7956829958619229,0.5865,0.5643157894736842,0.35,1.0,0,0.8957218221030606,3,365,50,False,29,0,0.35,1.0
16,15,A,mfu_v7,0.6153,0.593461772462881,0.55,0.7117117117117117,iig_effectiveness,0.0,0.0,0.2538879265608965,0.35,0.7932918236303383,0.6101,0.5885263157894737,0.35,1.0,0,0.9007218221030606,3,365,50,False,29,0,0.35,1.0
17,16,A,mfu_v7,0.5992,0.6033261821488686,0.55,0.8035714285714286,iig_effectiveness,0.0,0.0,0.2553055271399092,0.35,0.803405928607015,0.6343,0.611578947368421,0.35,1.0,0,0.9057218221030606,3,365,50,False,29,0,0.35,1.0
18,17,A,mfu_v7,0.5827,0.6038806314059475,0.55,0.8260869565217391,iig_effectiveness,0.0,0.0,0.25586843080600447,0.35,0.7997896033331253,0.6539,0.6357894736842106,0.35,1.0,0,0.9107218221030606,3,365,50,False,29,0,0.35,1.0
19,18,A,mfu_v7,0.5659,0.6305173951487079,0.55,0.8389830508474576,iig_effectiveness,0.0,0.0,0.25727928550623713,0.35,0.8248616602007743,0.6766,0.6604210526315789,0.35,1.0,1,0.9157218221030606,3,365,50,False,29,0,0.35,1.0
20,19,A,mfu_v7,0.5489,0.6382249268872595,0.55,0.8524590163934426,iig_effectiveness,0.0,0.0,0.2564173138181192,0.35,0.8209963745804392,0.7011,0.6834736842105263,0.35,1.0,1,0.9207218221030606,3,365,50,False,29,0,0.35,1.0
21,20,A,mfu_v7,0.5315,0.6559669335236161,0.55,0.8709677419354839,iig_effectiveness,0.0,0.0,0.25658358392942426,0.35,0.8346141175547863,0.7301,0.7025263157894737,0.35,1.0,0,0.9257218221030606,3,365,50,False,29,0,0.35,1.0
22,21,A,mfu_v7,0.5138,0.6458316186797124,0.55,0.8828125,iig_effectiveness,0.0,0.0,0.25650063828160385,0.35,0.8175339256658078,0.7651,0.7285263157894737,0.35,1.0,1,0.9087425236171895,3,365,50,False,29,0,0.35,1.0
23,22,A,mfu_v7,0.4961,0.6559757900403609,0.55,0.8846153846153846,iig_effectiveness,0.0,0.0,0.25578800545650715,0.35,0.8314277206928635,0.8026,0.7502105263157894,0.35,1.0,1,0.8917632251313184,3,365,50,False,29,0,0.35,1.0
