index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,institution_label,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
0,0,C,2008_myanmar_military,0.72,0.22,0.6,0.3,intel_effectiveness,0.25,0.0,0.55,0.35,0.18,0.58,0.35,0.35,1.0,0,0.75,18,1867,16,True,11,15,0.5000000000000001,0.525
1,0,C,2008_myanmar_military,0.7557,0.17600000000000005,0.55,0.098,intel_effectiveness,0.27999999999999997,0.0,0.20123587526453277,0.35,0.5641,0.3707,0.03747368421052632,0.35,0.44999999999999996,2,0.7828115487688498,18,1867,16,True,11,15,0.5000000000000001,0.525
2,1,C,2008_myanmar_military,0.7657,0.10080000000000001,0.55,0.0,intel_effectiveness,0.30999999999999994,0.0,0.23668400841291798,0.35,0.3313659378709858,0.3808,0.07052631578947369,0.36,0.45999999999999996,2,0.8156230975376997,18,1867,16,True,11,15,0.5000000000000001,0.525
3,2,C,2008_myanmar_military,0.7757,0.1,0.55,0.0,intel_effectiveness,0.3399999999999999,0.0,0.25281383661239004,0.35,0.29672550677959453,0.3944,0.14157894736842105,0.37,0.47,3,0.8368807238432666,18,1867,16,True,11,15,0.5000000000000001,0.525
4,3,C,2008_myanmar_military,0.7857,0.1,0.55,0.0,intel_effectiveness,0.3699999999999999,0.0,0.2650361271784104,0.35,0.28450225493971726,0.3995,0.2285263157894737,0.38,0.48,0,0.8581383501488336,18,1867,16,True,11,15,0.5000000000000001,0.525
5,4,C,2008_myanmar_military,0.7957,0.1,0.55,0.034482758620689655,intel_effectiveness,0.39999999999999986,0.0,0.26940304965062195,0.35,0.28433614931549406,0.4059,0.2965263157894737,0.39,0.49,0,0.8631383501488336,18,1867,16,True,11,15,0.5000000000000001,0.525
6,5,C,2008_myanmar_military,0.8057,0.1,0.55,0.05,intel_effectiveness,0.4299999999999998,0.0,0.27637080602228303,0.35,0.27579592947196896,0.4238,0.3486315789473684,0.4,0.5,0,0.8681383501488336,18,1867,16,True,11,15,0.5000000000000001,0.525
7,6,C,2008_myanmar_military,0.8157,0.1,0.55,0.16666666666666666,intel_effectiveness,0.4599999999999998,0.0,0.28109740301313657,0.35,0.26553705794987315,0.4426,0.396,0.41000000000000003,0.51,0,0.8731383501488336,18,1867,16,True,11,15,0.5000000000000001,0.525
8,7,C,2008_myanmar_military,0.8257,0.1,0.55,0.21428571428571427,intel_effectiveness,0.48999999999999977,0.0,0.28433101375780595,0.35,0.2554528970612153,0.4644,0.4345263157894737,0.42000000000000004,0.52,2,0.8454765314094572,18,1867,16,True,11,15,0.5000000000000001,0.525
9,8,C,2008_myanmar_military,0.8357,0.1,0.55,0.296875,intel_effectiveness,0.5199999999999998,0.0,0.28788660710621217,0.35,0.24891161702162912,0.487,0.4653684210526316,0.43000000000000005,0.53,1,0.8178147126700809,18,1867,16,True,11,15,0.5000000000000001,0.525
10,9,C,2008_myanmar_military,0.8457,0.1,0.55,0.39436619718309857,intel_effectiveness,0.5499999999999998,0.0,0.29254354440058367,0.35,0.2315695564812428,0.5086,0.4957894736842105,0.44000000000000006,0.54,1,0.7709483104112699,18,1867,16,True,11,15,0.5000000000000001,0.525
11,10,C,2008_myanmar_military,0.8557,0.1,0.55,0.5066666666666667,intel_effectiveness,0.5799999999999998,0.0,0.2926236982536761,0.35,0.2340866031881883,0.5315,0.519578947368421,0.45000000000000007,0.55,2,0.760237935134008,18,1867,16,True,11,15,0.5000000000000001,0.525
12,11,C,2008_myanmar_military,0.8657,0.1,0.55,0.524390243902439,intel_effectiveness,0.6099999999999999,0.0,0.29553832253175055,0.35,0.21693855758957614,0.5444,0.539578947368421,0.4600000000000001,0.56,1,0.749527559856746,18,1867,16,True,11,15,0.5000000000000001,0.525
13,12,C,2008_myanmar_military,0.8757,0.1,0.55,0.5617977528089888,intel_effectiveness,0.6399999999999999,0.0,0.2963530306006894,0.35,0.2068846643758812,0.5647,0.5589473684210526,0.4700000000000001,0.5700000000000001,1,0.7713512652326316,18,1867,16,True,11,15,0.5000000000000001,0.525
14,13,C,2008_myanmar_military,0.8857,0.1,0.55,0.6185567010309279,intel_effectiveness,0.6699999999999999,0.0,0.29663862186477424,0.35,0.20417511955071416,0.5864,0.5776842105263158,0.4800000000000001,0.5800000000000001,4,0.7774726422743496,18,1867,16,True,11,15,0.5000000000000001,0.525
15,14,C,2008_myanmar_military,0.8957,0.1,0.55,0.638095238095238,intel_effectiveness,0.7,0.0,0.2989921598467035,0.35,0.188895271550162,0.6064,0.6005263157894737,0.4900000000000001,0.5900000000000001,3,0.7835940193160676,18,1867,16,True,11,15,0.5000000000000001,0.525
16,15,C,2008_myanmar_military,0.9057,0.1,0.55,0.6576576576576577,intel_effectiveness,0.73,0.0,0.29881699160450104,0.35,0.17824654617394858,0.6274,0.6218947368421053,0.5000000000000001,0.6000000000000001,2,0.8257918974455427,18,1867,16,True,11,15,0.5000000000000001,0.525
