index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,institution_label,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
0,0,C,2008_myanmar_military,0.72,0.22,0.6,0.3,intel_effectiveness,0.25,0.0,0.55,0.35,0.18,0.58,0.35,0.35,1.0,0,0.75,2,267,16,True,7,15,0.5000000000000001,0.525
1,0,C,2008_myanmar_military,0.7352,0.17600000000000005,0.55,0.098,intel_effectiveness,0.27999999999999997,0.0,0.11669805463170227,0.35,0.5641,0.3606,0.03810526315789474,0.35,0.44999999999999996,2,0.6979282031094716,2,267,16,True,7,15,0.5000000000000001,0.525
2,1,C,2008_myanmar_military,0.7452,0.10080000000000001,0.55,0.0,intel_effectiveness,0.30999999999999994,0.0,0.22357836423197325,0.35,0.3249926196388214,0.3727,0.0703157894736842,0.36,0.45999999999999996,4,0.6222132460062414,2,267,16,True,7,15,0.5000000000000001,0.525
3,2,C,2008_myanmar_military,0.7552,0.1,0.55,0.0,intel_effectiveness,0.3399999999999999,0.0,0.23842943094750746,0.35,0.29529058950417886,0.3803,0.14642105263157895,0.37,0.47,1,0.5464982889030111,2,267,16,True,7,15,0.5000000000000001,0.525
4,3,C,2008_myanmar_military,0.7652,0.1,0.55,0.0,intel_effectiveness,0.3699999999999999,0.0,0.2473411167721486,0.35,0.28619802694796415,0.3894,0.23105263157894737,0.38,0.48,0,0.5514982889030111,2,267,16,True,7,15,0.5000000000000001,0.525
5,4,C,2008_myanmar_military,0.7752,0.1,0.55,0.0,intel_effectiveness,0.39999999999999986,0.0,0.2519363669638311,0.35,0.2779819297545102,0.3954,0.29957894736842106,0.39,0.49,0,0.5564982889030111,2,267,16,True,7,15,0.5000000000000001,0.525
6,5,C,2008_myanmar_military,0.7852,0.1,0.55,0.022222222222222223,intel_effectiveness,0.4299999999999998,0.0,0.26015433333033794,0.35,0.2644831387588833,0.4147,0.3569473684210526,0.4,0.5,0,0.5614982889030111,2,267,16,True,7,15,0.5000000000000001,0.525
7,6,C,2008_myanmar_military,0.7952,0.1,0.55,0.09259259259259259,intel_effectiveness,0.4599999999999998,0.0,0.2608189856522813,0.35,0.2667008782442313,0.434,0.40410526315789475,0.41000000000000003,0.51,0,0.5664982889030111,2,267,16,True,7,15,0.5000000000000001,0.525
8,7,C,2008_myanmar_military,0.8052,0.1,0.55,0.14754098360655737,intel_effectiveness,0.48999999999999977,0.0,0.2654826603773162,0.35,0.2462242051252739,0.4515,0.4397894736842105,0.42000000000000004,0.52,2,0.5332157606200268,2,267,16,True,7,15,0.5000000000000001,0.525
9,8,C,2008_myanmar_military,0.8152,0.1,0.55,0.34782608695652173,intel_effectiveness,0.5199999999999998,0.0,0.26517167712502737,0.35,0.2450551363158673,0.4734,0.47126315789473683,0.43000000000000005,0.53,2,0.49993323233704257,2,267,16,True,7,15,0.5000000000000001,0.525
