index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
0,0,A,mfu_v7,0.72,0.22,0.6,0.3,0.25,0.0,0.55,0.35,0.18,0.58,0.35,0.35,1.0,0,0.75,14,1465,50,False,22,0,0.35,1.0
1,0,A,mfu_v7,0.20316191242819917,0.319,0.55,0.0,0.23,0.0,0.022703294152903702,0.35,0.61515,0.4244,0.0016842105263157896,0.35,1.0,1,0.803798210145515,14,1465,50,False,22,0,0.35,1.0
2,1,A,mfu_v7,0.24932053661318698,0.3834447353025899,0.55,0.0,0.21000000000000002,0.0,0.023381928954111765,0.35,0.6407924985374605,0.4369,0.0027368421052631577,0.35,1.0,3,0.8226942142625633,14,1465,50,False,22,0,0.35,1.0
3,2,A,mfu_v7,0.2996924309171371,0.43253364270348915,0.55,0.0,0.19000000000000003,0.0,0.0483816051692072,0.35,0.6663601717412269,0.4398,0.0036842105263157894,0.35,1.0,3,0.8415902183796116,14,1465,50,False,22,0,0.35,1.0
4,3,A,mfu_v7,0.33900444656780127,0.45935523953316415,0.55,0.0,0.17000000000000004,0.0,0.05735405810648586,0.35,0.6772233476210405,0.4521,0.004526315789473684,0.35,1.0,2,0.8145436113821879,14,1465,50,False,22,0,0.35,1.0
5,4,A,mfu_v7,0.3933898065448398,0.4781707606785914,0.55,0.0,0.15000000000000005,0.0,0.07274123230484189,0.35,0.6898330220407329,0.4626,0.005263157894736842,0.35,1.0,1,0.7736010002677159,14,1465,50,False,22,0,0.35,1.0
6,5,A,mfu_v7,0.41245567402960653,0.477501753454421,0.55,0.0,0.13000000000000006,0.0,0.08662615837920076,0.35,0.6872949462966915,0.4762,0.00631578947368421,0.35,1.0,1,0.732658389153244,14,1465,50,False,22,0,0.35,1.0
7,6,A,mfu_v7,0.42638578363010365,0.48124303255260253,0.55,0.0,0.11000000000000006,0.0,0.09517062301642479,0.35,0.6971301444741156,0.4984,0.007578947368421052,0.35,1.0,0,0.691715778038772,14,1465,50,False,22,0,0.35,1.0
8,7,A,mfu_v7,0.44276929006296367,0.4877630581230724,0.55,0.0,0.09000000000000005,0.0,0.1050318807263789,0.35,0.7077528315448256,0.5151,0.00936842105263158,0.35,1.0,0,0.696715778038772,14,1465,50,False,22,0,0.35,1.0
9,8,A,mfu_v7,0.4546697170589255,0.5033566239196359,0.55,0.0,0.07000000000000005,0.0,0.11143627139089969,0.35,0.7258283083119637,0.523,0.010736842105263157,0.35,1.0,1,0.6747625439557696,14,1465,50,False,22,0,0.35,1.0
10,9,A,mfu_v7,0.47032994560887553,0.5079517771683709,0.55,0.0,0.050000000000000044,0.0,0.11706780277544403,0.35,0.7296444062637053,0.5316,0.012,0.35,1.0,1,0.6528093098727672,14,1465,50,False,22,0,0.35,1.0
11,10,A,mfu_v7,0.4808945889048082,0.5088573715900235,0.55,0.0625,0.030000000000000044,0.0,0.12068006297007305,0.35,0.7345747565998064,0.549,0.013263157894736841,0.35,1.0,0,0.6308560757897648,14,1465,50,False,22,0,0.35,1.0
12,11,A,mfu_v7,0.48766830605671696,0.5224713327366198,0.55,0.10526315789473684,0.010000000000000044,0.0,0.1268698092156201,0.35,0.7531276700319789,0.5633,0.013894736842105264,0.35,1.0,1,0.601188916867658,14,1465,50,False,22,0,0.35,1.0
13,12,A,mfu_v7,0.4990015247610022,0.5236185609634227,0.55,0.14285714285714285,0.0,0.0,0.13092908171191384,0.35,0.7544996731658713,0.5787,0.014736842105263158,0.35,1.0,0,0.5715217579455512,14,1465,50,False,22,0,0.35,1.0
14,13,A,mfu_v7,0.5076733586067781,0.518250137199864,0.55,0.2727272727272727,0.0,0.0,0.13193497744630384,0.35,0.7519178347352331,0.5895,0.014842105263157894,0.35,1.0,1,0.5604369418828199,14,1465,50,False,22,0,0.35,1.0
15,14,A,mfu_v7,0.5179313167299407,0.5395896546559362,0.55,0.3611111111111111,0.0,0.0,0.13407975000346212,0.35,0.7744451142991966,0.6079,0.015052631578947368,0.35,1.0,3,0.5293793035976684,14,1465,50,False,22,0,0.35,1.0
16,15,A,mfu_v7,0.5219492631568105,0.5613566318809285,0.55,0.3333333333333333,0.0,0.0,0.13814426355106824,0.35,0.7861611453313888,0.6343,0.015894736842105264,0.35,1.0,1,0.4983216653125168,14,1465,50,False,22,0,0.35,1.0
17,16,A,mfu_v7,0.5263286999708578,0.5566644588359078,0.55,0.4666666666666667,0.0,0.0,0.14031845071768959,0.35,0.7725614505041223,0.6415,0.016210526315789474,0.35,1.0,1,0.5148895687053567,14,1465,50,False,22,0,0.35,1.0
18,17,A,mfu_v7,0.5165305204884794,0.5586449335899096,0.55,0.54,0.0,0.0,0.13972083306977584,0.35,0.7764136141993327,0.6439,0.016842105263157894,0.35,1.0,2,0.5795257657773314,14,1465,50,False,22,0,0.35,1.0
19,18,A,mfu_v7,0.5021311813287875,0.5792888870140144,0.55,0.6470588235294118,0.0,0.0,0.1451558284816728,0.35,0.7951935705555515,0.641,0.017789473684210525,0.35,1.0,2,0.644161962849306,14,1465,50,False,22,0,0.35,1.0
20,19,A,mfu_v7,0.48540113185459033,0.5800744115327799,0.55,0.7169811320754716,0.0,0.0,0.14530377650551274,0.35,0.7872693584102548,0.629,0.018631578947368423,0.35,1.0,2,0.7087981599212807,14,1465,50,False,22,0,0.35,1.0
21,20,A,mfu_v7,0.4661154136102532,0.5957563302507656,0.55,0.7777777777777778,0.0,0.0,0.15028447315663757,0.35,0.8018372608944597,0.6354,0.018947368421052633,0.35,1.0,1,0.7439044972449157,14,1465,50,False,22,0,0.35,1.0
22,21,A,mfu_v7,0.44140803194855177,0.5996200658585494,0.55,0.8888888888888888,0.0,0.0,0.1498632412146328,0.35,0.7989214038603003,0.6207,0.019473684210526317,0.35,1.0,0,0.730942540889416,14,1465,50,False,22,0,0.35,1.0
23,22,A,mfu_v7,0.41800952357774657,0.6125303389938748,0.55,0.8909090909090909,0.0,0.0,0.15339680785204204,0.35,0.8095633943835903,0.6424,0.020210526315789474,0.35,1.0,0,0.735942540889416,14,1465,50,False,22,0,0.35,1.0
24,23,A,mfu_v7,0.39242097514607716,0.6192959966697227,0.55,0.9107142857142857,0.0,0.0,0.15367555228747945,0.35,0.810568454458809,0.6433,0.020736842105263158,0.35,1.0,0,0.740942540889416,14,1465,50,False,22,0,0.35,1.0
25,24,A,mfu_v7,0.3666356527594574,0.6409408797992737,0.55,0.9122807017543859,0.0,0.0,0.15438930754560662,0.35,0.8282895172080265,0.6429,0.02094736842105263,0.35,1.0,0,0.745942540889416,14,1465,50,False,22,0,0.35,1.0
26,25,A,mfu_v7,0.33947181759638506,0.6406115378100024,0.55,0.9298245614035088,0.0,0.0,0.15429534884029425,0.35,0.8188857914038072,0.6333,0.02126315789473684,0.35,1.0,0,0.750942540889416,14,1465,50,False,22,0,0.35,1.0
27,26,A,mfu_v7,0.3129366777383992,0.6566180550995184,0.55,0.9298245614035088,0.0,0.0,0.1543623410747093,0.35,0.8342303064643415,0.625,0.02168421052631579,0.35,1.0,0,0.755942540889416,14,1465,50,False,22,0,0.35,1.0
28,27,A,mfu_v7,0.28805058423586394,0.6722985437993305,0.55,0.9482758620689655,0.0,0.0,0.15439814329393745,0.35,0.8424040334675662,0.6383,0.021894736842105262,0.35,1.0,0,0.760942540889416,14,1465,50,False,22,0,0.35,1.0
29,28,A,mfu_v7,0.26487243823693857,0.6604928937713168,0.55,0.9655172413793104,0.0,0.0,0.15433994660939962,0.35,0.8246028606870321,0.6471,0.02231578947368421,0.35,1.0,0,0.765942540889416,14,1465,50,False,22,0,0.35,1.0
30,29,A,mfu_v7,0.24171282394877935,0.6746137276841712,0.55,0.9655172413793104,0.0,0.0,0.15431284923343666,0.35,0.8429760259160095,0.6391,0.022631578947368423,0.35,1.0,1,0.770942540889416,14,1465,50,False,22,0,0.35,1.0
31,30,A,mfu_v7,0.21949958342189044,0.6848872550049774,0.55,0.9655172413793104,0.0,0.0,0.15441541753038737,0.35,0.8468051266273766,0.6279,0.02305263157894737,0.35,1.0,1,0.775942540889416,14,1465,50,False,22,0,0.35,1.0
