index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
0,0,C,2008_myanmar_military,0.72,0.22,0.6,0.3,0.25,0.0,0.55,0.35,0.18,0.58,0.35,0.35,1.0,0,0.75,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
1,0,C,2008_myanmar_military,0.20080008854029005,0.279,0.55,0.0,0.23,0.0,0.021257440184535386,0.35,0.61515,0.4094,0.0006315789473684211,0.35,0.44999999999999996,0,0.755,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
2,1,C,2008_myanmar_military,0.2592730795978193,0.07005726793627086,0.55,0.0,0.21000000000000002,0.0,0.04069832860023052,0.35,0.3478744045394573,0.4208,0.0016842105263157896,0.36,0.45999999999999996,0,0.76,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
3,2,C,2008_myanmar_military,0.30819660108541586,0.0,0.55,0.0,0.19000000000000003,0.0,0.05711708589412824,0.35,0.2999527972247328,0.4309,0.003473684210526316,0.37,0.47,0,0.765,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
4,3,C,2008_myanmar_military,0.36083449522694283,0.0,0.55,0.0,0.17000000000000004,0.0,0.07099820654212194,0.35,0.3044701275792123,0.4364,0.006105263157894737,0.38,0.48,1,0.77,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
5,4,C,2008_myanmar_military,0.40065125459683587,0.0,0.55,0.0,0.15000000000000005,0.0,0.07743086226358202,0.35,0.3138015073445871,0.4509,0.007894736842105263,0.39,0.49,1,0.775,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
6,5,C,2008_myanmar_military,0.42564948579372985,0.0,0.55,0.0,0.13000000000000006,0.0,0.09246269878927867,0.35,0.32371011962025487,0.466,0.009263157894736843,0.4,0.5,3,0.7900917127134536,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
7,6,C,2008_myanmar_military,0.44682733215701786,0.0,0.55,0.0,0.11000000000000006,0.0,0.10598156325611438,0.35,0.331073379173049,0.4866,0.010210526315789474,0.41000000000000003,0.51,2,0.8051834254269071,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
8,7,C,2008_myanmar_military,0.46716711017795104,0.0,0.55,0.0,0.09000000000000005,0.0,0.11297973746337897,0.35,0.33202984279075004,0.4913,0.011052631578947368,0.42000000000000004,0.52,1,0.8202751381403607,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
9,8,C,2008_myanmar_military,0.4796039267792341,0.0,0.55,0.0,0.07000000000000005,0.0,0.12756500724575467,0.35,0.3375622402304524,0.5073,0.012421052631578947,0.43000000000000005,0.53,1,0.8551440626638613,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
10,9,C,2008_myanmar_military,0.5037599311783629,0.0,0.55,0.0,0.050000000000000044,0.0,0.1371595203182742,0.35,0.3453857905299402,0.515,0.013052631578947368,0.44000000000000006,0.54,1,0.890012987187362,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
11,10,C,2008_myanmar_military,0.5197119729411802,0.0,0.55,0.045454545454545456,0.030000000000000044,0.0,0.14793254776018794,0.35,0.36175059833885814,0.5178,0.013894736842105264,0.45000000000000007,0.55,0,0.9248819117108626,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
12,11,C,2008_myanmar_military,0.5313326301107812,0.0,0.55,0.16666666666666666,0.010000000000000044,0.0,0.15180032377714478,0.35,0.36539655031389157,0.5265,0.014736842105263158,0.4600000000000001,0.56,0,0.9298819117108627,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
13,12,C,2008_myanmar_military,0.5496368504921005,0.0,0.55,0.23076923076923078,0.0,0.0,0.16276548196053933,0.35,0.3741566940808699,0.5274,0.015157894736842105,0.4700000000000001,0.5700000000000001,1,0.9051536537487203,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
14,13,C,2008_myanmar_military,0.5631212473953047,0.0,0.55,0.37777777777777777,0.0,0.0,0.17032343125760357,0.35,0.367240079148591,0.5197,0.015789473684210527,0.4800000000000001,0.5800000000000001,0,0.8804253957865779,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
15,14,C,2008_myanmar_military,0.5760170378585906,0.0,0.55,0.36538461538461536,0.0,0.0,0.17328543420249493,0.35,0.3747994549672665,0.527,0.016421052631578947,0.4900000000000001,0.5900000000000001,0,0.8854253957865779,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
16,15,C,2008_myanmar_military,0.5824942357477078,0.0,0.55,0.423728813559322,0.0,0.0,0.18392108182036923,0.35,0.3664876857537597,0.53,0.016736842105263158,0.5000000000000001,0.6000000000000001,1,0.9177337264070714,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
17,16,C,2008_myanmar_military,0.5868032290720175,0.0,0.55,0.46153846153846156,0.030000000000000002,0.0,0.18555698553501024,0.35,0.3637792410994979,0.5266,0.01768421052631579,0.5100000000000001,0.6100000000000001,3,0.9147656216629815,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
18,17,C,2008_myanmar_military,0.5870720305252103,0.0,0.55,0.5735294117647058,0.010000000000000002,0.0,0.1927937733660965,0.35,0.36774844968607046,0.53,0.018105263157894735,0.5200000000000001,0.6200000000000001,4,0.895678996330639,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
